pair,metric_name,target,n,pearson,spearman,mean_metric,mean_target
3-4,top_pair_overlap,down_delta_loss,3,0.5348736285702729,0.5,0.23148148148148148,0.02885598322701834
3-4,top_pair_overlap,mean_abs_delta_loss,3,0.24424579653010794,0.5,0.23148148148148148,0.019019102135663313
3-5,coactivation_cosine,up_delta_loss,3,-0.974283671380552,-0.5,0.9702856397127867,0.0003926470166160841
3-5,coactivation_cosine,down_delta_loss,3,-0.5806018343779034,-0.5,0.9702856397127867,0.04539779822031657
3-5,coactivation_cosine,mean_abs_delta_loss,3,-0.7401094653475937,-0.5,0.9702856397127867,0.023290311533307278
3-5,nestedness,up_delta_loss,3,-0.5247625435614314,-0.5,0.7389142071759259,0.0003926470166160841
3-5,nestedness,down_delta_loss,3,-0.957003082094196,-0.5,0.7389142071759259,0.04539779822031657
3-5,nestedness,mean_abs_delta_loss,3,-0.8736833509919807,-0.5,0.7389142071759259,0.023290311533307278
3-5,spearman,up_delta_loss,3,-0.7334745422137937,-1.0,0.7761328816413879,0.0003926470166160841
3-5,spearman,down_delta_loss,3,-0.9997279957725156,-1.0,0.7761328816413879,0.04539779822031657
3-5,spearman,mean_abs_delta_loss,3,-0.9720255855877828,-1.0,0.7761328816413879,0.023290311533307278
3-5,top1_agreement,up_delta_loss,3,-0.7156692405470219,-1.0,0.5167875744047619,0.0003926470166160841
3-5,top1_agreement,down_delta_loss,3,-0.9987917732297391,-1.0,0.5167875744047619,0.04539779822031657
3-5,top1_agreement,mean_abs_delta_loss,3,-0.9656331495528381,-1.0,0.5167875744047619,0.023290311533307278
3-5,top_pair_overlap,up_delta_loss,3,-0.8656753281739431,-1.0,0.11340442609792455,0.0003926470166160841
3-5,top_pair_overlap,down_delta_loss,3,-0.9801154990329262,-1.0,0.11340442609792455,0.04539779822031657
3-5,top_pair_overlap,mean_abs_delta_loss,3,-0.9999018358466824,-1.0,0.11340442609792455,0.023290311533307278
3-6,coactivation_cosine,up_delta_loss,3,-0.7616821876578967,-0.5,0.9661535615705595,0.019900741085173573
3-6,coactivation_cosine,down_delta_loss,3,0.7887757987992415,0.5,0.9661535615705595,0.0745441333326713
3-6,coactivation_cosine,mean_abs_delta_loss,3,0.8392026175388617,0.5,0.9661535615705595,0.04722243720892244
3-6,nestedness,up_delta_loss,3,-0.8626678978142706,-1.0,0.7751283998842594,0.019900741085173573
3-6,nestedness,down_delta_loss,3,0.8835695524968629,1.0,0.7751283998842594,0.0745441333326713
3-6,nestedness,mean_abs_delta_loss,3,0.9209186882548717,1.0,0.7751283998842594,0.04722243720892244
3-6,spearman,up_delta_loss,3,-0.35198332217443895,-0.5,0.7620060245196024,0.019900741085173573
3-6,spearman,down_delta_loss,3,0.3918105747502593,0.5,0.7620060245196024,0.0745441333326713
3-6,spearman,mean_abs_delta_loss,3,0.47027216000973665,0.5,0.7620060245196024,0.04722243720892244
3-6,top1_agreement,up_delta_loss,3,-0.993398452951449,-1.0,0.49271065848214285,0.019900741085173573
3-6,top1_agreement,down_delta_loss,3,0.9875632075070847,1.0,0.49271065848214285,0.0745441333326713
