seed,train_k,inference_k,checkpoint_step,task_id,task_name,num_tokens,validation_loss
0,2,8,1500,0,general_ko,4608,0.5723053572906388
0,2,8,1500,1,general_en,4608,0.5953910392191675
0,2,8,1500,2,math_ko,4608,0.5168793011042807
0,2,8,1500,3,math_en,4608,0.6973057430651453
0,2,8,1500,4,code,4608,0.6098296650581889
0,2,8,1500,5,reasoning,4608,0.578398309648037
0,2,8,1500,6,translation,4608,0.637763938970036
0,3,1,0,0,general_ko,4608,5.679443187183804
0,3,1,0,1,general_en,4608,5.720122456550598
0,3,1,0,2,math_ko,4608,5.69287923971812
0,3,1,0,3,math_en,4608,5.737981292936537
0,3,1,0,4,code,4608,5.725954400168525
0,3,1,0,5,reasoning,4608,5.705779247813755
0,3,1,0,6,translation,4608,5.7009036673439875
0,3,2,0,0,general_ko,4608,5.672622111108568
0,3,2,0,1,general_en,4608,5.713210463523865
0,3,2,0,2,math_ko,4608,5.69502321879069
0,3,2,0,3,math_en,4608,5.731670260429382
0,3,2,0,4,code,4608,5.727201143900554
0,3,2,0,5,reasoning,4608,5.709014998541938
0,3,2,0,6,translation,4608,5.6867772870593605
0,3,3,0,0,general_ko,4608,5.671132352617052
0,3,3,0,1,general_en,4608,5.719486647182041
0,3,3,0,2,math_ko,4608,5.69482061598036
0,3,3,0,3,math_en,4608,5.729529036415948
0,3,3,0,4,code,4608,5.7220958603752985
0,3,3,0,5,reasoning,4608,5.708650999599033
0,3,3,0,6,translation,4608,5.6803327269024315
0,3,4,0,0,general_ko,4608,5.671623521380955
0,3,4,0,1,general_en,4608,5.719564596811931
0,3,4,0,2,math_ko,4608,5.69804232650333
0,3,4,0,3,math_en,4608,5.731296843952602
0,3,4,0,4,code,4608,5.720533755090502
0,3,4,0,5,reasoning,4608,5.707507570584615
0,3,4,0,6,translation,4608,5.678405231899685
0,3,5,0,0,general_ko,4608,5.670493112670051
0,3,5,0,1,general_en,4608,5.719591935475667
0,3,5,0,2,math_ko,4608,5.701600591341655
0,3,5,0,3,math_en,4608,5.730306320720249
0,3,5,0,4,code,4608,5.723747160699633
0,3,5,0,5,reasoning,4608,5.710303889380561
0,3,5,0,6,translation,4608,5.68030940161811
0,3,6,0,0,general_ko,4608,5.671461184819539
0,3,6,0,1,general_en,4608,5.721741345193651
0,3,6,0,2,math_ko,4608,5.7008680899937945
0,3,6,0,3,math_en,4608,5.728590581152174
0,3,6,0,4,code,4608,5.72293417983585
0,3,6,0,5,reasoning,4608,5.710867895020379
0,3,6,0,6,translation,4608,5.683302468723721
0,3,7,0,0,general_ko,4608,5.673107862472534
0,3,7,0,1,general_en,4608,5.7223519749111595
0,3,7,0,2,math_ko,4608,5.701830996407403
0,3,7,0,3,math_en,4608,5.728105849689907
0,3,7,0,4,code,4608,5.721768922275967
0,3,7,0,5,reasoning,4608,5.709584010971917
0,3,7,0,6,translation,4608,5.684349338213603
0,3,8,0,0,general_ko,4608,5.673274172676934
0,3,8,0,1,general_en,4608,5.721874250306024
0,3,8,0,2,math_ko,4608,5.701538377337986
0,3,8,0,3,math_en,4608,5.727320432662964
0,3,8,0,4,code,4608,5.7210818661583795
0,3,8,0,5,reasoning,4608,5.710145658916897
0,3,8,0,6,translation,4608,5.684339072969225
0,3,1,1500,0,general_ko,4608,0.9882551704843839
0,3,1,1500,1,general_en,4608,0.9888710387878947
0,3,1,1500,2,math_ko,4608,0.6738568105631404
0,3,1,1500,3,math_en,4608,1.0243685709105597
0,3,1,1500,4,code,4608,0.9629328333669238
0,3,1,1500,5,reasoning,4608,0.8176766261458397
0,3,1,1500,6,translation,4608,0.8507313190235032
0,3,2,1500,0,general_ko,4608,0.4286886391540368
0,3,2,1500,1,general_en,4608,0.48065602572427857
0,3,2,1500,2,math_ko,4608,0.39109282402528656
0,3,2,1500,3,math_en,4608,0.5176492788725429
0,3,2,1500,4,code,4608,0.4294787471493085
0,3,2,1500,5,reasoning,4608,0.3772386722266674
0,3,2,1500,6,translation,4608,0.4089428550667233
0,3,3,1500,0,general_ko,4608,0.39548302276266944
0,3,3,1500,1,general_en,4608,0.4354354780581262
0,3,3,1500,2,math_ko,4608,0.3527679219841957
0,3,3,1500,3,math_en,4608,0.4581203924285041
0,3,3,1500,4,code,4608,0.37260642482174766
0,3,3,1500,5,reasoning,4608,0.3515692258046733
0,3,3,1500,6,translation,4608,0.3932226366466946
0,3,4,1500,0,general_ko,4608,0.35966439959075713
