seed,host_k,donor_k,swap_scope,layer_id,validation_loss,baseline_loss,delta_loss
0,2,8,single_layer,5,0.8277784983317057,0.8123446873256138,0.015433811006091869
0,2,8,single_layer,6,0.828741709391276,0.8123446873256138,0.01639702206566218
0,2,8,single_layer,7,0.8193439301990327,0.8123446873256138,0.006999242873418909
0,3,1,all_layers,-1,1.0404835655575706,0.86644408816383,0.1740394773937406
0,3,1,single_layer,0,0.8695592426118397,0.86644408816383,0.0031151544480096938
0,3,1,single_layer,1,0.8652777898879278,0.86644408816383,-0.0011662982759022
0,3,1,single_layer,2,0.8589141482398623,0.86644408816383,-0.007529939923967666
0,3,1,single_layer,3,0.8578760964529855,0.86644408816383,-0.008567991710844547
0,3,1,single_layer,4,0.9015951610746837,0.86644408816383,0.03515107291085373
0,3,1,single_layer,5,0.8830078669956752,0.86644408816383,0.016563778831845233
0,3,1,single_layer,6,0.8572698320661273,0.86644408816383,-0.009174256097702727
0,3,1,single_layer,7,0.8244459969656808,0.86644408816383,-0.041998091198149234
0,3,2,all_layers,-1,0.852042970203218,0.86644408816383,-0.014401117960612053
0,3,2,single_layer,0,0.8748920077369327,0.86644408816383,0.008447919573102647
0,3,2,single_layer,1,0.8398491995675224,0.86644408816383,-0.026594888596307653
0,3,2,single_layer,2,0.8676554361979166,0.86644408816383,0.0012113480340866234
0,3,2,single_layer,3,0.8487432570684523,0.86644408816383,-0.017700831095377678
0,3,2,single_layer,4,0.8646572657993862,0.86644408816383,-0.0017868223644438297
0,3,2,single_layer,5,0.8648665291922433,0.86644408816383,-0.0015775589715867344
0,3,2,single_layer,6,0.8639754340762184,0.86644408816383,-0.0024686540876116547
0,3,2,single_layer,7,0.8508258092971075,0.86644408816383,-0.015618278866722513
0,3,3,all_layers,-1,0.86644408816383,0.86644408816383,0.0
0,3,3,single_layer,0,0.86644408816383,0.86644408816383,0.0
0,3,3,single_layer,1,0.86644408816383,0.86644408816383,0.0
0,3,3,single_layer,2,0.86644408816383,0.86644408816383,0.0
0,3,3,single_layer,3,0.86644408816383,0.86644408816383,0.0
0,3,3,single_layer,4,0.86644408816383,0.86644408816383,0.0
0,3,3,single_layer,5,0.86644408816383,0.86644408816383,0.0
0,3,3,single_layer,6,0.86644408816383,0.86644408816383,0.0
0,3,3,single_layer,7,0.86644408816383,0.86644408816383,0.0
0,3,4,all_layers,-1,0.8363892691476005,0.86644408816383,-0.030054819016229528
0,3,4,single_layer,0,0.8520057314918155,0.86644408816383,-0.01443835667201454
0,3,4,single_layer,1,0.8333791097005209,0.86644408816383,-0.033064978463309136
0,3,4,single_layer,2,0.8577437627883184,0.86644408816383,-0.008700325375511575
0,3,4,single_layer,3,0.8465031215122768,0.86644408816383,-0.019940966651553205
0,3,4,single_layer,4,0.8515792120070684,0.86644408816383,-0.014864876156761575
0,3,4,single_layer,5,0.8712403433663505,0.86644408816383,0.004796255202520472
0,3,4,single_layer,6,0.8551982697986421,0.86644408816383,-0.011245818365187898
0,3,4,single_layer,7,0.8639361063639323,0.86644408816383,-0.0025079817998977516
0,3,5,all_layers,-1,0.8307460603259859,0.86644408816383,-0.03569802783784415
0,3,5,single_layer,0,0.8619962419782367,0.86644408816383,-0.0044478461855933515
0,3,5,single_layer,1,0.8404475620814732,0.86644408816383,-0.025996526082356808
0,3,5,single_layer,2,0.8709157307942709,0.86644408816383,0.004471642630440864
0,3,5,single_layer,3,0.847274416968936,0.86644408816383,-0.01916967119489399
0,3,5,single_layer,4,0.8429480961390904,0.86644408816383,-0.02349599202473962
0,3,5,single_layer,5,0.8574376787458148,0.86644408816383,-0.009006409418015227
0,3,5,single_layer,6,0.8676280975341797,0.86644408816383,0.0011840093703496812
0,3,5,single_layer,7,0.8672597975957961,0.86644408816383,0.0008157094319660718
0,3,6,all_layers,-1,0.8320185343424479,0.86644408816383,-0.03442555382138213
0,3,6,single_layer,0,0.8539188021705264,0.86644408816383,-0.012525285993303603
0,3,6,single_layer,1,0.8329088120233445,0.86644408816383,-0.03353527614048546
0,3,6,single_layer,2,0.8498487926664806,0.86644408816383,-0.016595295497349394
0,3,6,single_layer,3,0.850532713390532,0.86644408816383,-0.01591137477329796
0,3,6,single_layer,4,0.848675046648298,0.86644408816383,-0.017769041515532047
0,3,6,single_layer,5,0.8577305930001395,0.86644408816383,-0.008713495163690466
0,3,6,single_layer,6,0.8605755397251674,0.86644408816383,-0.00586854843866258
0,3,6,single_layer,7,0.8650843302408854,0.86644408816383,-0.0013597579229446266
0,3,7,all_layers,-1,0.8503085545131138,0.86644408816383,-0.016135533650716183
0,3,7,single_layer,0,0.8577726454961867,0.86644408816383,-0.008671442667643303
0,3,7,single_layer,1,0.8460347311837333,0.86644408816383,-0.020409356980096716
0,3,7,single_layer,2,0.8489617847260975,0.86644408816383,-0.017482303437732494
0,3,7,single_layer,3,0.8436493646530878,0.86644408816383,-0.022794723510742188
0,3,7,single_layer,4,0.8604088737851098,0.86644408816383,-0.006035214378720233
0,3,7,single_layer,5,0.8510189964657738,0.86644408816383,-0.01542509169805617
0,3,7,single_layer,6,0.8632480984642392,0.86644408816383,-0.0031959896995907844
0,3,7,single_layer,7,0.8755831037248883,0.86644408816383,0.009139015561058339
0,3,8,all_layers,-1,0.8628276643298921,0.86644408816383,-0.0036164238339378985
0,3,8,single_layer,0,0.8512886592320034,0.86644408816383,-0.015155428931826642
0,3,8,single_layer,1,0.8315679459344774,0.86644408816383,-0.03487614222935265
0,3,8,single_layer,2,0.8454842340378534,0.86644408816383,-0.020959854125976562
