pair,layer_id,total_logit_mse,router_contribution,representation_contribution,router_share,representation_share,router_component_mse,representation_component_mse,interaction_mse,mean_abs_decomposition_residual,num_seeds
3-7,0,0.029499430741582598,0.02444453431027276,0.00505489736263241,0.8281149665652988,0.171885065172004,0.023702911086498746,0.0043132748336546,0.00012436253711625578,0.0,3
3-7,1,0.07093770163399833,0.026516481642685236,0.044421222120050396,0.3738131116897359,0.6261869183627143,0.021649151981349975,0.03955389204479399,0.00117642017790959,0.0,3
3-7,2,0.13467931652825976,0.030697165618813225,0.10398215433907887,0.2275945455274924,0.772405481004002,0.022177803315340527,0.09546278984773726,0.0034724383481911252,5.774569535066211e-14,3
3-7,3,0.22317003257690915,0.04202844923923887,0.18114158653077625,0.18829479347853081,0.8117052209295076,0.027767795537199297,0.16688092928084117,0.007302391121075266,0.0,3
3-7,4,0.3085924614043463,0.05481913141787998,0.25377333921099465,0.1777137137465038,0.8222863161383042,0.034025554619138206,0.2329797593374101,0.011891390477854107,0.0,3
3-7,5,0.3926378053332132,0.06457211124518561,0.3280656933784485,0.16429689304383122,0.8357031046559187,0.03790385276079178,0.3013974352488442,0.015191954693623952,5.774569535066211e-14,3
3-7,6,0.43982657364436556,0.08187714290051233,0.3579494385492234,0.18607618561146888,0.8139238327281985,0.05342252647119855,0.3294948216468569,0.020927237139807806,3.4647417210397264e-13,3
3-7,7,0.4838514176626054,0.11514280854709565,0.3687086275645665,0.23734876077637726,0.762651277569275,0.08267149707627675,0.33623730379437644,0.02633440553668946,2.3098278140264843e-13,3
3-8,0,0.03172484253134047,0.026226924880156443,0.005497918419894718,0.8267115001612023,0.17328852382324378,0.025336377559200166,0.004607371098938442,0.00014279685251133902,0.0,3
3-8,1,0.07384776548733786,0.0287799107886496,0.04506785670916239,0.3894180552701881,0.6105819720114822,0.02380066826230004,0.04008861359149691,0.0013168842516957768,5.774569535066211e-14,3
3-8,2,0.13733768321218945,0.0313699065692841,0.10596777948122177,0.22825995030209034,0.7717400697033904,0.02287540312797304,0.09747327462075249,0.003713864847899429,5.774569535066211e-14,3
3-8,3,0.23852467915368458,0.04751519208389615,0.1910094954664745,0.1991080284953637,0.8008920067034908,0.030739658053905244,0.17423395505027164,0.008262004880678088,0.0,3
