seed,pair,layer_id,total_logit_mse,router_contribution,representation_contribution,router_share,representation_share,router_component_mse,representation_component_mse,interaction_mse,mean_abs_decomposition_residual,num_values
0,3-8,1,0.07443508434863318,0.028296815142745062,0.04613827204420453,0.3801542698629946,0.6198457682684382,0.023911839439755396,0.041753293857687994,0.0013136815701034806,0.0,172032
0,3-8,2,0.13907675516037715,0.030932144749732243,0.1081446125393822,0.22241060135507665,0.7775894139511281,0.022517033985682895,0.09972950106575376,0.003732948031808649,1.7323708605198632e-13,172032
0,3-8,3,0.2497485876083374,0.05018208991913568,0.19956650620415098,0.20093042527164404,0.7990696088224397,0.03138285626967748,0.18076726368495397,0.00880309087889535,0.0,172032
0,3-8,4,0.31697133041563486,0.05675769845644633,0.26021363621666316,0.17906256184753896,0.8209374515841952,0.03674633978378205,0.24020227647963024,0.01336859202101117,1.7323708605198632e-13,172032
0,3-8,5,0.4170777002970378,0.06847526274976276,0.34860243116106304,0.16417867150652143,0.8358213131816746,0.03961154570182165,0.31973873149781,0.016700472860109238,0.0,172032
0,3-8,6,0.4917096296946208,0.10105105666887193,0.39065856025332496,0.20550961495635198,0.7944903590681065,0.06606989673205785,0.35567740883146015,0.027835231451761155,3.4647417210397264e-13,172032
0,3-8,7,0.4769804875055949,0.11390835614431472,0.3630721512294951,0.23881135419188104,0.7611886874622651,0.08174690107504527,0.33091070254643756,0.027204014715694246,1.7323708605198632e-13,172032
0,4-5,0,0.015225022144260861,0.012044806033372879,0.0031802161552366755,0.7911191142610733,0.20888088865180876,0.011694922156277158,0.0028303322337922595,3.707459351668755e-05,0.0,172032
0,4-5,1,0.044319731139001395,0.016021554668744404,0.028298178244204747,0.36149936511337327,0.6385006749127665,0.012992968694085167,0.02526959173736118,0.0004639109718568978,0.0,172032
0,4-5,2,0.09333684614726476,0.019684240754161562,0.07365260876360394,0.21089464200562566,0.7891053941055232,0.013739065932376044,0.06770743074871245,0.0015154557657383737,0.0,172032
0,4-5,3,0.15946489572525024,0.02557152012983958,0.13389337772414797,0.16035830339674248,0.839641709952511,0.015643356634037837,0.12396521653447833,0.003238904023809092,0.0,172032
0,4-5,4,0.22568841491426742,0.034039923832530065,0.1916485003062657,0.1508270765491479,0.8491729643237005,0.020483467550504775,0.17809203976676577,0.005606050824835187,0.0,172032
0,4-5,5,0.2813675772576105,0.0320667979263124,0.24930078358877272,0.11396763706343159,0.8860323780679302,0.01930382599433263,0.23653781697863624,0.006875551261362575,0.0,172032
