host_k,donor_k,swap_scope,layer_id,validation_loss,baseline_loss,delta_loss,num_seeds
3,5,all_layers,-1,0.8458009750124008,0.8557762569851346,-0.009975281972733748,3
3,5,single_layer,0,0.8692808908129496,0.8557762569851346,0.013504633827815046,3
3,5,single_layer,1,0.8434710729689825,0.8557762569851346,-0.01230518401615203,3
3,5,single_layer,2,0.8649823627774679,0.8557762569851346,0.009206105792333275,3
3,5,single_layer,3,0.849488303774879,0.8557762569851346,-0.006287953210255437,3
3,5,single_layer,4,0.8429793100508433,0.8557762569851346,-0.012796946934291268,3
3,5,single_layer,5,0.8578559330531529,0.8557762569851346,0.002079676068018399,3
3,5,single_layer,6,0.8575284140450613,0.8557762569851346,0.0017521570599268916,3
3,5,single_layer,7,0.8561004457019624,0.8557762569851346,0.0003241887168278594,3
3,6,all_layers,-1,0.845308364383758,0.8557762569851346,-0.010467892601376483,3
3,6,single_layer,0,0.8746733589777871,0.8557762569851346,0.01889710199265256,3
3,6,single_layer,1,0.8429395887586807,0.8557762569851346,-0.012836668226453943,3
3,6,single_layer,2,0.8556351737370567,0.8557762569851346,-0.00014108324807785935,3
3,6,single_layer,3,0.8563201843746125,0.8557762569851346,0.0005439273894779865,3
3,6,single_layer,4,0.8451832665337456,0.8557762569851346,-0.010592990451388876,3
3,6,single_layer,5,0.8600057874407088,0.8557762569851346,0.004229530455574208,3
3,6,single_layer,6,0.8592621334015377,0.8557762569851346,0.0034858764164031886,3
3,6,single_layer,7,0.8612536173018198,0.8557762569851346,0.005477360316685258,3
3,7,all_layers,-1,0.8732457539391897,0.8557762569851346,0.017469496954055086,3
3,7,single_layer,0,0.8690120757572236,0.8557762569851346,0.01323581877208894,3
3,7,single_layer,1,0.8457572573707216,0.8557762569851346,-0.010018999614412771,3
3,7,single_layer,2,0.8548587920173766,0.8557762569851346,-0.0009174649677579083,3
3,7,single_layer,3,0.8511685568188865,0.8557762569851346,-0.0046077001662480814,3
3,7,single_layer,4,0.8539237673320468,0.8557762569851346,-0.0018524896530877817,3
3,7,single_layer,5,0.8561594221327039,0.8557762569851346,0.0003831651475694568,3
3,7,single_layer,6,0.8620468018546937,0.8557762569851346,0.006270544869559173,3
3,7,single_layer,7,0.8645404634021577,0.8557762569851346,0.00876420641702321,3
3,8,all_layers,-1,0.8922368306962271,0.8557762569851346,0.036460573711092535,3
3,8,single_layer,0,0.8714265369233631,0.8557762569851346,0.015650279938228578,3
