seed,pair,layer_id,component,metric_name,value,num_records
0,1-4,0,router_on_hidden_a,nestedness,0.852120544229235,5376
0,1-4,0,router_on_hidden_a,spearman,0.8499469586781093,5376
0,1-4,0,router_on_hidden_a,top1_agreement,0.47991072705813814,5376
0,1-4,0,router_on_hidden_b,nestedness,0.8368675708770752,5376
0,1-4,0,router_on_hidden_b,spearman,0.8450011355536324,5376
0,1-4,0,router_on_hidden_b,top1_agreement,0.47991072705813814,5376
0,1-4,0,total,nestedness,0.8164062670298985,5376
0,1-4,0,total,spearman,0.8253522344997951,5376
0,1-4,0,total,top1_agreement,0.44735864230564665,5376
0,1-4,1,representation_with_router_a,nestedness,0.4363839328289032,5376
0,1-4,1,representation_with_router_a,spearman,0.8156729851450238,5376
0,1-4,1,representation_with_router_a,top1_agreement,0.4363839328289032,5376
0,1-4,1,representation_with_router_b,nestedness,0.6392299277441842,5376
0,1-4,1,representation_with_router_b,spearman,0.8300960574831281,5376
0,1-4,1,representation_with_router_b,top1_agreement,0.49627977183886934,5376
0,1-4,1,router_on_hidden_a,nestedness,0.8484003118106297,5376
0,1-4,1,router_on_hidden_a,spearman,0.8606703962598529,5376
0,1-4,1,router_on_hidden_a,top1_agreement,0.46781995466777254,5376
0,1-4,1,router_on_hidden_b,nestedness,0.8848586508205959,5376
0,1-4,1,router_on_hidden_b,spearman,0.8741969806807381,5376
0,1-4,1,router_on_hidden_b,top1_agreement,0.5172991326877049,5376
0,1-4,1,total,nestedness,0.6590402041162763,5376
0,1-4,1,total,spearman,0.7188940899712699,5376
0,1-4,1,total,top1_agreement,0.3097098342009953,5376
0,1-4,2,representation_with_router_a,nestedness,0.32533482568604605,5376
0,1-4,2,representation_with_router_a,spearman,0.7206519501549857,5376
0,1-4,2,representation_with_router_a,top1_agreement,0.32533482568604605,5376
0,1-4,2,representation_with_router_b,nestedness,0.5442243559019906,5376
0,1-4,2,representation_with_router_b,spearman,0.7338128941399711,5376
0,1-4,2,representation_with_router_b,top1_agreement,0.40550596373421804,5376
0,1-4,2,router_on_hidden_a,nestedness,0.8469122137342181,5376
0,1-4,2,router_on_hidden_a,spearman,0.8438510809625898,5376
0,1-4,2,router_on_hidden_a,top1_agreement,0.478608638048172,5376
0,1-4,2,router_on_hidden_b,nestedness,0.9127604365348816,5376
0,1-4,2,router_on_hidden_b,spearman,0.8645540220396859,5376
0,1-4,2,router_on_hidden_b,top1_agreement,0.5697544813156128,5376
0,1-4,2,total,nestedness,0.5874256065913609,5376
0,1-4,2,total,spearman,0.6235422662326268,5376
0,1-4,2,total,top1_agreement,0.23883929422923497,5376
0,1-4,3,representation_with_router_a,nestedness,0.2643229237624577,5376
0,1-4,3,representation_with_router_a,spearman,0.6395308290209089,5376
0,1-4,3,representation_with_router_a,top1_agreement,0.2643229237624577,5376
0,1-4,3,representation_with_router_b,nestedness,0.49404763323920114,5376
0,1-4,3,representation_with_router_b,spearman,0.6653787834303719,5376
0,1-4,3,representation_with_router_b,top1_agreement,0.32831102183886934,5376
0,1-4,3,router_on_hidden_a,nestedness,0.7892485346112933,5376
0,1-4,3,router_on_hidden_a,spearman,0.7902510847364154,5376
0,1-4,3,router_on_hidden_a,top1_agreement,0.394717276096344,5376
0,1-4,3,router_on_hidden_b,nestedness,0.8960193651063102,5376
0,1-4,3,router_on_hidden_b,spearman,0.8315919978278024,5376
0,1-4,3,router_on_hidden_b,top1_agreement,0.5656622222491673,5376
0,1-4,3,total,nestedness,0.47321430274418425,5376
0,1-4,3,total,spearman,0.5088299896035876,5376
0,1-4,3,total,top1_agreement,0.189546138048172,5376
0,1-4,4,representation_with_router_a,nestedness,0.2170758992433548,5376
0,1-4,4,representation_with_router_a,spearman,0.559085122176579,5376
0,1-4,4,representation_with_router_a,top1_agreement,0.2170758992433548,5376
0,1-4,4,representation_with_router_b,nestedness,0.4687500170298985,5376
0,1-4,4,representation_with_router_b,spearman,0.6066848039627075,5376
0,1-4,4,representation_with_router_b,top1_agreement,0.341889888048172,5376
0,1-4,4,router_on_hidden_a,nestedness,0.7663690618106297,5376
0,1-4,4,router_on_hidden_a,spearman,0.7751576900482178,5376
0,1-4,4,router_on_hidden_a,top1_agreement,0.373139888048172,5376
0,1-4,4,router_on_hidden_b,nestedness,0.8993675879069737,5376
0,1-4,4,router_on_hidden_b,spearman,0.8365155373300824,5376
0,1-4,4,router_on_hidden_b,top1_agreement,0.5786830697740827,5376
0,1-4,4,total,nestedness,0.4373140037059784,5376
0,1-4,4,total,spearman,0.4441951470715659,5376
0,1-4,4,total,top1_agreement,0.17131696854318892,5376
0,1-4,5,representation_with_router_a,nestedness,0.21186756874833787,5376
0,1-4,5,representation_with_router_a,spearman,0.5235731984887805,5376
0,1-4,5,representation_with_router_a,top1_agreement,0.21186756874833787,5376
0,1-4,5,representation_with_router_b,nestedness,0.4574032851627895,5376
0,1-4,5,representation_with_router_b,spearman,0.5823261822972979,5376
0,1-4,5,representation_with_router_b,top1_agreement,0.33519345947674345,5376
0,1-4,5,router_on_hidden_a,nestedness,0.761904776096344,5376
0,1-4,5,router_on_hidden_a,spearman,0.7615116579192025,5376
0,1-4,5,router_on_hidden_a,top1_agreement,0.36681548612458365,5376
0,1-4,5,router_on_hidden_b,nestedness,0.909970257963453,5376
0,1-4,5,router_on_hidden_b,spearman,0.8246406997953143,5376
0,1-4,5,router_on_hidden_b,top1_agreement,0.6294643027441842,5376
0,1-4,5,total,nestedness,0.4188988208770752,5376
0,1-4,5,total,spearman,0.42048639910561697,5376
0,1-4,5,total,top1_agreement,0.1657366156578064,5376
0,1-4,6,representation_with_router_a,nestedness,0.15922619508845465,5376
0,1-4,6,representation_with_router_a,spearman,0.4841767294066293,5376
0,1-4,6,representation_with_router_a,top1_agreement,0.15922619508845465,5376
0,1-4,6,representation_with_router_b,nestedness,0.4565662273338863,5376
0,1-4,6,representation_with_router_b,spearman,0.5784040348870414,5376
0,1-4,6,representation_with_router_b,top1_agreement,0.35416668227740694,5376
