seed,pair,layer_id,intersection_size,count,share
0,2-5,3,0,2205,0.068359375
0,2-5,3,1,12656,0.3923611111111111
0,2-5,3,2,17395,0.5392795138888888
0,2-5,4,0,3070,0.09517609126984126
0,2-5,4,1,14790,0.45851934523809523
0,2-5,4,2,14396,0.4463045634920635
0,2-5,5,0,3223,0.09991939484126984
0,2-5,5,1,15603,0.4837239583333333
0,2-5,5,2,13430,0.4163566468253968
0,2-5,6,0,4827,0.14964657738095238
0,2-5,6,1,16628,0.5155009920634921
0,2-5,6,2,10801,0.3348524305555556
0,2-5,7,0,3008,0.09325396825396826
0,2-5,7,1,16135,0.5002170138888888
0,2-5,7,2,13113,0.40652901785714285
0,2-5,-1,0,18081,0.070068359375
0,2-5,-1,1,98150,0.3803555927579365
0,2-5,-1,2,141817,0.5495760478670635
0,2-6,0,0,16,0.000496031746031746
0,2-6,0,1,2281,0.0707155257936508
0,2-6,0,2,29959,0.9287884424603174
0,2-6,1,0,308,0.009548611111111112
0,2-6,1,1,6169,0.1912512400793651
0,2-6,1,2,25779,0.7992001488095238
0,2-6,2,0,838,0.0259796626984127
0,2-6,2,1,9490,0.29420882936507936
0,2-6,2,2,21928,0.6798115079365079
0,2-6,3,0,1868,0.05791170634920635
0,2-6,3,1,12268,0.3803323412698413
0,2-6,3,2,18120,0.5617559523809523
0,2-6,4,0,2284,0.07080853174603174
0,2-6,4,1,12828,0.3976934523809524
0,2-6,4,2,17144,0.5314980158730159
0,2-6,5,0,2620,0.08122519841269842
0,2-6,5,1,13468,0.4175347222222222
0,2-6,5,2,16168,0.5012400793650794
0,2-6,6,0,4118,0.12766617063492064
0,2-6,6,1,15446,0.4788566468253968
0,2-6,6,2,12692,0.39347718253968256
0,2-6,7,0,2671,0.08280629960317461
0,2-6,7,1,16042,0.49733382936507936
0,2-6,7,2,13543,0.41985987103174605
0,2-6,-1,0,14723,0.057055276537698416
0,2-6,-1,1,87992,0.34099082341269843
0,2-6,-1,2,155333,0.6019539000496031
0,2-7,0,0,0,0.0
0,2-7,0,1,1294,0.040116567460317464
0,2-7,0,2,30962,0.9598834325396826
0,2-7,1,0,191,0.005921378968253968
0,2-7,1,1,4449,0.13792782738095238
0,2-7,1,2,27616,0.8561507936507936
0,2-7,2,0,534,0.016555059523809524
0,2-7,2,1,7945,0.2463107638888889
0,2-7,2,2,23777,0.7371341765873016
0,2-7,3,0,1332,0.041294642857142856
0,2-7,3,1,10516,0.32601686507936506
0,2-7,3,2,20408,0.6326884920634921
0,2-7,4,0,1759,0.05453249007936508
0,2-7,4,1,11960,0.3707837301587302
0,2-7,4,2,18537,0.5746837797619048
0,2-7,5,0,2080,0.06448412698412699
0,2-7,5,1,12526,0.3883308531746032
0,2-7,5,2,17650,0.5471850198412699
0,2-7,6,0,2956,0.09164186507936507
0,2-7,6,1,14543,0.4508618551587302
0,2-7,6,2,14757,0.45749627976190477
0,2-7,7,0,2046,0.06343005952380952
0,2-7,7,1,13116,0.40662202380952384
0,2-7,7,2,17094,0.5299479166666666
0,2-7,-1,0,10898,0.04223245287698413
0,2-7,-1,1,76349,0.2958713107638889
0,2-7,-1,2,170801,0.661896236359127
0,2-8,0,0,0,0.0
0,2-8,0,1,724,0.022445436507936508
0,2-8,0,2,31532,0.9775545634920635
0,2-8,1,0,258,0.007998511904761904
0,2-8,1,1,3427,0.10624379960317461
0,2-8,1,2,28571,0.8857576884920635
0,2-8,2,0,398,0.012338789682539682
0,2-8,2,1,6251,0.1937934027777778
0,2-8,2,2,25607,0.7938678075396826
0,2-8,3,0,869,0.026940724206349208
0,2-8,3,1,9681,0.3001302083333333
0,2-8,3,2,21706,0.6729290674603174
0,2-8,4,0,1204,0.03732638888888889
0,2-8,4,1,10586,0.32818700396825395
0,2-8,4,2,20466,0.6344866071428571
0,2-8,5,0,1491,0.046223958333333336
0,2-8,5,1,11598,0.3595610119047619
0,2-8,5,2,19167,0.5942150297619048
0,2-8,6,0,2505,0.07765997023809523
0,2-8,6,1,14474,0.44872271825396826
0,2-8,6,2,15277,0.4736173115079365
0,2-8,7,0,1826,0.056609623015873016
0,2-8,7,1,12991,0.4027467757936508
0,2-8,7,2,17439,0.5406436011904762
0,2-8,-1,0,8551,0.03313724578373016
0,2-8,-1,1,69732,0.27022879464285715
0,2-8,-1,2,179765,0.6966339595734127
0,3-4,0,0,5,0.00015500992063492063
0,3-4,0,1,712,0.0220734126984127
0,3-4,0,2,9908,0.3071676587301587
0,3-4,0,3,21631,0.6706039186507936
0,3-4,1,0,117,0.003627232142857143
0,3-4,1,1,2178,0.06752232142857142
0,3-4,1,2,14012,0.43439980158730157
0,3-4,1,3,15949,0.4944506448412698
0,3-4,2,0,349,0.01081969246031746
0,3-4,2,1,4980,0.15438988095238096
0,3-4,2,2,16092,0.49888392857142855
0,3-4,2,3,10835,0.335906498015873
0,3-4,3,0,882,0.02734375
0,3-4,3,1,7226,0.2240203373015873
0,3-4,3,2,16433,0.5094556051587301
0,3-4,3,3,7715,0.23918030753968253
0,3-4,4,0,1001,0.031032986111111112
0,3-4,4,1,8429,0.2613157242063492
0,3-4,4,2,16270,0.5044022817460317
0,3-4,4,3,6556,0.20324900793650794
0,3-4,5,0,1439,0.04461185515873016
0,3-4,5,1,9254,0.2868923611111111
0,3-4,5,2,15833,0.4908544146825397
0,3-4,5,3,5730,0.17764136904761904
0,3-4,6,0,1598,0.04954117063492063
0,3-4,6,1,9427,0.29225570436507936
0,3-4,6,2,16335,0.5064174107142857
0,3-4,6,3,4896,0.15178571428571427
0,3-4,7,0,1324,0.041046626984126984
0,3-4,7,1,10470,0.32459077380952384
0,3-4,7,2,15720,0.48735119047619047
0,3-4,7,3,4742,0.14701140873015872
0,3-4,-1,0,6715,0.0260222904265873
0,3-4,-1,1,52676,0.20413256448412698
0,3-4,-1,2,120603,0.4673665364583333
0,3-4,-1,3,78054,0.3024786086309524
0,3-5,0,0,0,0.0
0,3-5,0,1,347,0.010757688492063492
0,3-5,0,2,6259,0.19404141865079366
0,3-5,0,3,25650,0.7952008928571429
0,3-5,1,0,31,0.0009610615079365079
0,3-5,1,1,1307,0.040519593253968256
0,3-5,1,2,10344,0.32068452380952384
0,3-5,1,3,20574,0.6378348214285714
0,3-5,2,0,242,0.007502480158730159
0,3-5,2,1,3456,0.10714285714285714
0,3-5,2,2,14036,0.4351438492063492
0,3-5,2,3,14522,0.4502108134920635
0,3-5,3,0,432,0.013392857142857142
0,3-5,3,1,5182,0.16065228174603174
0,3-5,3,2,15585,0.4831659226190476
0,3-5,3,3,11057,0.3427889384920635
0,3-5,4,0,895,0.027746775793650792
0,3-5,4,1,6645,0.20600818452380953
0,3-5,4,2,15972,0.49516369047619047
0,3-5,4,3,8744,0.2710813492063492
0,3-5,5,0,892,0.02765376984126984
0,3-5,5,1,7804,0.24193948412698413
0,3-5,5,2,15488,0.4801587301587302
0,3-5,5,3,8072,0.25024801587301587
0,3-5,6,0,1169,0.03624131944444445
0,3-5,6,1,8189,0.253875248015873
0,3-5,6,2,15367,0.47640749007936506
0,3-5,6,3,7531,0.23347594246031747
0,3-5,7,0,765,0.023716517857142856
0,3-5,7,1,7833,0.24283854166666666
0,3-5,7,2,16901,0.5239645337301587
0,3-5,7,3,6757,0.20948040674603174
0,3-5,-1,0,4426,0.017151847718253968
0,3-5,-1,1,40763,0.15796673487103174
0,3-5,-1,2,109952,0.4260912698412698
0,3-5,-1,3,102907,0.3987901475694444
0,3-6,0,0,0,0.0
0,3-6,0,1,249,0.007719494047619048
0,3-6,0,2,4513,0.13991195436507936
0,3-6,0,3,27494,0.8523685515873016
0,3-6,1,0,35,0.0010850694444444445
0,3-6,1,1,845,0.026196676587301588
0,3-6,1,2,8374,0.25961061507936506
0,3-6,1,3,23002,0.7131076388888888
0,3-6,2,0,230,0.007130456349206349
0,3-6,2,1,2293,0.07108754960317461
0,3-6,2,2,11266,0.3492683531746032
0,3-6,2,3,18467,0.5725136408730159
0,3-6,3,0,433,0.013423859126984126
0,3-6,3,1,3856,0.1195436507936508
0,3-6,3,2,14312,0.4437003968253968
0,3-6,3,3,13655,0.42333209325396826
0,3-6,4,0,485,0.015035962301587302
0,3-6,4,1,4614,0.14304315476190477
0,3-6,4,2,15049,0.46654885912698413
0,3-6,4,3,12108,0.37537202380952384
0,3-6,5,0,614,0.019035218253968252
0,3-6,5,1,5949,0.18443080357142858
0,3-6,5,2,14680,0.455109126984127
0,3-6,5,3,11013,0.34142485119047616
0,3-6,6,0,789,0.024460565476190476
0,3-6,6,1,6303,0.19540550595238096
0,3-6,6,2,15773,0.48899429563492064
0,3-6,6,3,9391,0.29113963293650796
0,3-6,7,0,668,0.020709325396825396
0,3-6,7,1,6858,0.21261160714285715
0,3-6,7,2,16276,0.5045882936507936
0,3-6,7,3,8454,0.26209077380952384
0,3-6,-1,0,3254,0.012610057043650794
