seed,pair,layer_id,top_m,overlap_fraction
0,1-4,1,22,0.8539341517857143
0,1-4,1,23,0.8661765657349897
0,1-4,1,24,0.8800339471726191
0,1-4,1,25,0.8930059523809524
0,1-4,1,26,0.9063251201923077
0,1-4,1,27,0.9198334619341564
0,1-4,1,28,0.9331110048185941
0,1-4,1,29,0.9473051792556103
0,1-4,1,30,0.9626911789021164
0,1-4,1,31,0.9794046818996416
0,1-4,1,32,1.0
0,1-4,2,1,0.23862227182539683
0,1-4,2,2,0.3288845486111111
0,1-4,2,3,0.39053199404761907
0,1-4,2,4,0.42927672371031744
0,1-4,2,5,0.47018229166666664
0,1-4,2,6,0.5023561507936508
0,1-4,2,7,0.5337833049886621
0,1-4,2,8,0.561279296875
0,1-4,2,9,0.5868468915343915
0,1-4,2,10,0.608727058531746
0,1-4,2,11,0.6281960227272727
0,1-4,2,12,0.6489852017195767
0,1-4,2,13,0.6691015148046398
0,1-4,2,14,0.6886072137188208
0,1-4,2,15,0.7076967592592592
0,1-4,2,16,0.7242819165426587
0,1-4,2,17,0.740828883636788
0,1-4,2,18,0.758709835207231
0,1-4,2,19,0.7761134607351713
0,1-4,2,20,0.7924107142857143
0,1-4,2,21,0.8079500897581254
0,1-4,2,22,0.8233281475468975
0,1-4,2,23,0.8390309588509317
0,1-4,2,24,0.8553783275462963
0,1-4,2,25,0.8711966765873016
0,1-4,2,26,0.887952867445055
0,1-4,2,27,0.9048572071575544
0,1-4,2,28,0.9214000053146258
0,1-4,2,29,0.9386780753968254
0,1-4,2,30,0.9572048611111111
0,1-4,2,31,0.9764444924475166
0,1-4,2,32,1.0
0,1-4,3,1,0.19776165674603174
0,1-4,3,2,0.2710348462301587
0,1-4,3,3,0.3194444444444444
0,1-4,3,4,0.36307198660714285
0,1-4,3,5,0.3986359126984127
0,1-4,3,6,0.4304057126322751
0,1-4,3,7,0.46486146541950113
0,1-4,3,8,0.49223787822420634
0,1-4,3,9,0.5184186232363316
0,1-4,3,10,0.5433841765873015
0,1-4,3,11,0.5674969561688312
0,1-4,3,12,0.5920474743716931
0,1-4,3,13,0.6156564789377289
0,1-4,3,14,0.6370486996882087
0,1-4,3,15,0.6580109126984127
0,1-4,3,16,0.6795712425595238
0,1-4,3,17,0.6998570261437909
0,1-4,3,18,0.7202535962301587
0,1-4,3,19,0.7395833333333334
0,1-4,3,20,0.7587844122023809
0,1-4,3,21,0.7771488803854876
0,1-4,3,22,0.7971723372113997
0,1-4,3,23,0.8159331327639752
0,1-4,3,24,0.8347943018353174
0,1-4,3,25,0.8539930555555556
0,1-4,3,26,0.8733807425213675
0,1-4,3,27,0.8918283362727807
0,1-4,3,28,0.9113465047477324
0,1-4,3,29,0.9311403171182266
0,1-4,3,30,0.9521453373015873
0,1-4,3,31,0.9745193692396313
0,1-4,3,32,1.0
0,1-4,4,1,0.16620163690476192
0,1-4,4,2,0.23350694444444445
0,1-4,4,3,0.2837818287037037
0,1-4,4,4,0.3293883308531746
0,1-4,4,5,0.3714967757936508
0,1-4,4,6,0.40692170965608465
0,1-4,4,7,0.4390899589002268
0,1-4,4,8,0.46678912450396826
0,1-4,4,9,0.4937410438712522
0,1-4,4,10,0.5182136656746031
0,1-4,4,11,0.5440848214285714
0,1-4,4,12,0.5675455729166666
0,1-4,4,13,0.590408940018315
0,1-4,4,14,0.6147981327947846
0,1-4,4,15,0.6360945767195767
0,1-4,4,16,0.6580461774553571
0,1-4,4,17,0.6784930117880486
0,1-4,4,18,0.699384093915344
0,1-4,4,19,0.7198497545948204
0,1-4,4,20,0.7395879836309524
0,1-4,4,21,0.7597611961451247
0,1-4,4,22,0.7793926993145743
0,1-4,4,23,0.7995519539337475
0,1-4,4,24,0.8200321903935185
0,1-4,4,25,0.8403335813492063
0,1-4,4,26,0.8607152396214897
0,1-4,4,27,0.8818824404761905
