pair,layer_id,source_rank,mean_target_rank,mean_absolute_displacement,count
3-5,-1,32,29.680623856801834,2.3193761431981645,2064384
3-5,0,1,1.5308082217261905,0.5308082217261905,258048
3-5,0,2,2.6609700520833335,1.0299246651785714,258048
3-5,0,3,3.750368148561508,1.3922332279265872,258048
3-5,0,4,4.765683128720238,1.6550525483630953,258048
3-5,0,5,5.679303850446429,1.8546355716765872,258048
3-5,0,6,6.606704954117063,2.0003836495535716,258048
3-5,0,7,7.529510013640873,2.1610901847718256,258048
3-5,0,8,8.492671906001984,2.295987568204365,258048
3-5,0,9,9.428989955357142,2.4199141245039684,258048
3-5,0,10,10.349446614583334,2.4708658854166665,258048
3-5,0,11,11.289690290178571,2.5448831225198414,258048
3-5,0,12,12.21487087673611,2.5890260726686507,258048
3-5,0,13,13.131510416666666,2.6165984623015874,258048
3-5,0,14,14.073904854910714,2.6635625930059526,258048
3-5,0,15,15.037555028521826,2.6560833643353177,258048
3-5,0,16,15.91470966641865,2.647309802827381,258048
3-5,0,17,16.851992652529763,2.641295417906746,258048
3-5,0,18,17.820587642609127,2.6193460131448414,258048
3-5,0,19,18.75108894469246,2.563991970486111,258048
3-5,0,20,19.69606429811508,2.5151134672619047,258048
3-5,0,21,20.62765842013889,2.4359654017857144,258048
3-5,0,22,21.581763857886905,2.3510005890376986,258048
3-5,0,23,22.597322978670636,2.230654761904762,258048
3-5,0,24,23.516407800099206,2.134463355654762,258048
3-5,0,25,24.4943111359127,1.9939856150793651,258048
3-5,0,26,25.462584480406747,1.8595958891369047,258048
3-5,0,27,26.438255673363095,1.7123132130456349,258048
3-5,0,28,27.468699621775794,1.4985312810019842,258048
3-5,0,29,28.488955543154763,1.2824745783730158,258048
3-5,0,30,29.537217881944443,1.0276227678571428,258048
3-5,0,31,30.568878658234127,0.7346695188492064,258048
3-5,0,32,31.641512431795636,0.35848756820436506,258048
3-5,1,1,1.9415690104166667,0.9415690104166666,258048
3-5,1,2,3.2158978174603177,1.5995861235119047,258048
3-5,1,3,4.370450458829365,2.0655691964285716,258048
3-5,1,4,5.419654482886905,2.4251030815972223,258048
3-5,1,5,6.354891338045635,2.663539341517857,258048
3-5,1,6,7.313798208085317,2.920499286954365,258048
3-5,1,7,8.215301029265873,3.1090882316468256,258048
3-5,1,8,9.036012679811508,3.2097245473710316,258048
3-5,1,9,9.92462642609127,3.364071800595238,258048
3-5,1,10,10.759432353670634,3.4626658606150795,258048
3-5,1,11,11.640105716765873,3.566103980654762,258048
3-5,1,12,12.488781156994047,3.6839463975694446,258048
3-5,1,13,13.40535869295635,3.7219974578373014,258048
3-5,1,14,14.306303478422619,3.790438213045635,258048
3-5,1,15,15.136854383680555,3.7996690538194446,258048
3-5,1,16,15.958999875992063,3.8145926339285716,258048
3-5,1,17,16.812232607886905,3.808225601438492,258048
3-5,1,18,17.69573490203373,3.7674114893353177,258048
3-5,1,19,18.607146732390873,3.751189701140873,258048
3-5,1,20,19.435977027529763,3.6492474268353177,258048
3-5,1,21,20.337297712053573,3.5969393291170637,258048
3-5,1,22,21.261555989583332,3.515415736607143,258048
3-5,1,23,22.10899910094246,3.3853197854662698,258048
3-5,1,24,23.024890718005953,3.2551424541170637,258048
3-5,1,25,23.956620473710316,3.1174742683531744,258048
3-5,1,26,24.847501240079364,2.9546053447420637,258048
3-5,1,27,25.802699497767858,2.752623542906746,258048
3-5,1,28,26.79936290922619,2.487335689484127,258048
3-5,1,29,27.788609095982142,2.1993466331845237,258048
3-5,1,30,28.84693157862103,1.8512331039186507,258048
3-5,1,31,29.978864397321427,1.4002123635912698,258048
3-5,1,32,31.20753890749008,0.7924610925099206,258048
3-5,2,1,2.4221695188492065,1.4221695188492063,258048
3-5,2,2,3.9622550843253967,2.3330155629960316,258048
3-5,2,3,5.202977740575397,2.890865265376984,258048
3-5,2,4,6.236382378472222,3.2743133060515874,258048
3-5,2,5,7.209131634424603,3.5715758308531744,258048
3-5,2,6,8.098973834325397,3.8245985243055554,258048
3-5,2,7,8.956263950892858,3.9958302331349205,258048
3-5,2,8,9.808167472718255,4.171960255456349,258048
3-5,2,9,10.639632936507937,4.348175533234127,258048
3-5,2,10,11.37102787078373,4.445967416914683,258048
3-5,2,11,12.194188678075397,4.565693204365079,258048
3-5,2,12,13.075330946180555,4.654548766121032,258048
3-5,2,13,13.741827101934524,4.704733227926587,258048
3-5,2,14,14.615594773065476,4.752933562748016,258048
3-5,2,15,15.310694134424603,4.781343005952381,258048
3-5,2,16,16.075280567956348,4.79248046875,258048
3-5,2,17,16.812337239583332,4.805230034722222,258048
3-5,2,18,17.560721261160715,4.785857669890873,258048
3-5,2,19,18.341630239335316,4.784927610367063,258048
3-5,2,20,19.197017609126984,4.702435205853175,258048
3-5,2,21,19.98539806547619,4.607018849206349,258048
3-5,2,22,20.69861033606151,4.554520864335317,258048
3-5,2,23,21.561197916666668,4.443382626488095,258048
3-5,2,24,22.35064019097222,4.340959821428571,258048
3-5,2,25,23.19330512152778,4.160768539186508,258048
3-5,2,26,24.08478267609127,3.971803695436508,258048
3-5,2,27,24.924312531001984,3.8032652839781744,258048
3-5,2,28,25.89555431547619,3.5054175967261907,258048
3-5,2,29,26.911768353174605,3.1508014012896823,258048
3-5,2,30,27.928986080109127,2.810333736359127,258048
