seed,pair,layer_id,metric_name,same_compute,fixed_step,fixed_minus_same
0,2-6,0,coactivation_cosine,0.7182390194408936,0.7505916400339989,0.032352620593105286
0,2-6,0,nestedness,0.9430958581349206,0.9641617063492064,0.02106584821428581
0,2-6,0,spearman,0.9153666496276855,0.939530074596405,0.024163424968719482
0,2-6,0,top1_agreement,0.6133742559523809,0.6492125496031746,0.03583829365079372
0,2-6,0,top_pair_overlap,0.17647058823529413,0.1111111111111111,-0.06535947712418302
0,2-6,1,coactivation_cosine,0.7598115406347381,0.7512412841297033,-0.008570256505034846
0,2-6,1,nestedness,0.8681640625,0.8948412698412699,0.026677207341269882
0,2-6,1,spearman,0.8293893933296204,0.8706279397010803,0.04123854637145996
0,2-6,1,top1_agreement,0.5187562003968254,0.5251736111111112,0.0064174107142858094
0,2-6,1,top_pair_overlap,0.05263157894736842,0.1111111111111111,0.05847953216374269
0,2-6,2,coactivation_cosine,0.7479922260206986,0.7762609244435824,0.02826869842288382
0,2-6,2,nestedness,0.7900545634920635,0.8269624255952381,0.03690786210317465
0,2-6,2,spearman,0.7348779439926147,0.7844579815864563,0.04958003759384155
0,2-6,2,top1_agreement,0.421906001984127,0.45439608134920634,0.03249007936507936
0,2-6,2,top_pair_overlap,0.1111111111111111,0.05263157894736842,-0.05847953216374269
0,2-6,3,coactivation_cosine,0.7599967180518775,0.7636897357643865,0.0036930177125089614
0,2-6,3,nestedness,0.7207186259920635,0.751891121031746,0.031172495039682557
0,2-6,3,spearman,0.6612106561660767,0.7200912237167358,0.05888056755065918
0,2-6,3,top1_agreement,0.35556175595238093,0.382843501984127,0.027281746031746046
0,2-6,3,top_pair_overlap,0.0,0.05263157894736842,0.05263157894736842
0,2-6,4,coactivation_cosine,0.7508233453298245,0.7720498118533041,0.021226466523479592
0,2-6,4,nestedness,0.6774863591269841,0.7300347222222222,0.05254836309523814
0,2-6,4,spearman,0.6023775339126587,0.6584635376930237,0.05608600378036499
0,2-6,4,top1_agreement,0.3287450396825397,0.37199280753968256,0.04324776785714285
0,2-6,4,top_pair_overlap,0.05263157894736842,0.1111111111111111,0.05847953216374269
0,2-6,5,coactivation_cosine,0.7690342258014877,0.7531649827409251,-0.015869243060562588
0,2-6,5,nestedness,0.7068297371031746,0.7100074404761905,0.0031777033730158166
0,2-6,5,spearman,0.6049754023551941,0.6296362280845642,0.024660825729370117
0,2-6,5,top1_agreement,0.36551339285714285,0.34858630952380953,-0.016927083333333315
0,2-6,5,top_pair_overlap,0.05263157894736842,0.17647058823529413,0.12383900928792571
0,2-6,6,coactivation_cosine,0.7621714593231502,0.6898719691273817,-0.07229949019576853
0,2-6,6,nestedness,0.6253875248015873,0.6329210069444444,0.007533482142857095
0,2-6,6,spearman,0.5230956077575684,0.5667427182197571,0.04364711046218872
0,2-6,6,top1_agreement,0.2666170634920635,0.26807415674603174,0.0014570932539682557
0,2-6,6,top_pair_overlap,0.1111111111111111,0.1111111111111111,0.0
0,2-6,7,coactivation_cosine,0.46774260369835696,0.531332381293807,0.06358977759545004
0,2-6,7,nestedness,0.6336340525793651,0.6685422867063492,0.03490823412698407
0,2-6,7,spearman,0.5711931586265564,0.6047107577323914,0.03351759910583496
0,2-6,7,top1_agreement,0.3871217757936508,0.43449280753968256,0.047371031746031744
0,2-6,7,top_pair_overlap,0.05263157894736842,0.05263157894736842,0.0
0,2-7,0,coactivation_cosine,0.6996822343652559,0.741357571446504,0.041675337081248154
0,2-7,0,nestedness,0.9657428075396826,0.9799572172619048,0.01421440972222221
0,2-7,0,spearman,0.9175475835800171,0.9387333989143372,0.02118581533432007
0,2-7,0,top1_agreement,0.6202566964285714,0.6412450396825397,0.020988343253968256
0,2-7,0,top_pair_overlap,0.25,0.1111111111111111,-0.1388888888888889
0,2-7,1,coactivation_cosine,0.7452027525000121,0.7403165352489545,-0.004886217251057645
0,2-7,1,nestedness,0.9005921378968254,0.9251612103174603,0.024569072420634996
0,2-7,1,spearman,0.8255292177200317,0.8631027340888977,0.03757351636886597
0,2-7,1,top1_agreement,0.5131758432539683,0.5119667658730159,-0.001209077380952328
0,2-7,1,top_pair_overlap,0.05263157894736842,0.17647058823529413,0.12383900928792571
