seed,train_k,layer_id,mutual_information,normalized_mutual_information,expert_purity,mean_pairwise_task_js
2,3,3,0.13503376363912134,0.052301489237291984,0.2707919973544973,0.07467218380788206
2,3,4,0.15625621113493698,0.060682801645204835,0.29035424933862436,0.0859584563966461
2,3,5,0.1608396573133194,0.062208349938917724,0.2939608134920635,0.08910168969459589
2,3,6,0.10555664017206341,0.04095065839217564,0.2552806712962963,0.06015589454777557
2,3,7,0.07507313942858432,0.029167095914014028,0.2306650958994709,0.04413811612501447
2,4,0,0.00901136462708912,0.0034799025806871694,0.17016214037698413,0.005259374248389449
2,4,1,0.01823806191726281,0.0070488382699278075,0.18806578621031747,0.010495006011815043
2,4,2,0.046929990537626774,0.018129029247328957,0.2062562003968254,0.027512978905050882
2,4,3,0.10696053640396361,0.04139869177695082,0.2558206225198413,0.06085388222987734
2,4,4,0.15688229394448816,0.06082142685475712,0.29415457589285715,0.0867480593384896
2,4,5,0.15197367005461976,0.058787977044809626,0.27380952380952384,0.08639543677068924
2,4,6,0.10704870469822797,0.04156537782347372,0.25413101438492064,0.062102012410999136
2,4,7,0.06102158900277739,0.023695538765254338,0.2257021949404762,0.03523515938664318
2,5,0,0.007512979039022894,0.002898676364836118,0.16882440476190477,0.004379136723511583
2,5,1,0.016987626794206342,0.006554604436208078,0.18428819444444444,0.009800582066707367
2,5,2,0.03673540543873981,0.01417888925476232,0.19770585317460318,0.021457374267871768
2,5,3,0.08610548534359616,0.03335632976746389,0.23545386904761906,0.048555505166951445
2,5,4,0.11960809698151731,0.0462775247055996,0.26881200396825394,0.06589182432572022
2,5,5,0.12305584094474113,0.047538085837481425,0.27017609126984127,0.06911817364471536
2,5,6,0.08957398029144858,0.03467651903631363,0.23624751984126985,0.05255633382506166
2,5,7,0.04035624916029522,0.015668399985248486,0.20709945436507937,0.023470482118699454
2,6,0,0.005425134743981869,0.002092416936727625,0.16579344411375663,0.0031626612255069336
2,6,1,0.012819868029529622,0.004944690706307207,0.1790777943121693,0.007451768170419664
2,6,2,0.029517445319924635,0.011380548959622275,0.19301835317460317,0.017260383116013835
2,6,3,0.0605044014305262,0.023367068223366982,0.22142133763227514,0.03491210801980485
2,6,4,0.08522069804834526,0.032896723923685596,0.2465071097883598,0.04768914864832279
2,6,5,0.105416743406998,0.04069846267132956,0.2511987433862434,0.06008491210783097
2,6,6,0.07710713182697956,0.029808510296513883,0.24039971891534392,0.044176832065838986
2,6,7,0.030182782536457186,0.011698705087579952,0.1961185515873016,0.017704313760418082
2,7,0,0.004454521261510034,0.0017166765267130728,0.1625434027777778,0.0026044596166029505
2,7,1,0.00953641171576636,0.0036776461438357303,0.17348710317460317,0.005529002171419177
2,7,2,0.026128277336785518,0.010066004811231127,0.19113166099773243,0.015225823379467355
2,7,3,0.046599463208323234,0.01797950751726486,0.21274447278911565,0.02674540499552359
2,7,4,0.07447286214923922,0.028742797657636054,0.24034952522675737,0.042400131671658126
