metric_type,metric_name,seed,checkpoint_step,train_k,inference_k,train_k_b,inference_k_b,pair,value,extra
logit_cutoff_sanity,nestedness,0,1000,4,2,,4,2-4,1.0,derived_from_same_gate_logits
logit_cutoff_sanity,spearman,0,1000,4,2,,4,2-4,1.0,derived_from_same_gate_logits
logit_cutoff_sanity,coactivation_cosine,0,1000,4,2,,4,2-4,0.9866453035869245,derived_from_same_gate_logits
logit_cutoff_sanity,top_pair_overlap,0,1000,4,2,,4,2-4,0.42857142857142855,derived_from_same_gate_logits
same_weight_infer_path,top1_agreement,0,1000,1,1,,2,1-2,0.7975260416666666,
same_weight_infer_path,nestedness,0,1000,1,1,,2,1-2,0.9281994047619048,
same_weight_infer_path,spearman,0,1000,1,1,,2,1-2,0.8957691192626953,
same_weight_infer_path,top1_agreement,0,1000,1,1,,4,1-4,0.7512090773809523,
same_weight_infer_path,nestedness,0,1000,1,1,,4,1-4,0.9791666666666666,
same_weight_infer_path,spearman,0,1000,1,1,,4,1-4,0.8596872687339783,
same_weight_infer_path,top1_agreement,0,1000,1,2,,4,2-4,0.8560267857142857,
same_weight_infer_path,nestedness,0,1000,1,2,,4,2-4,0.9887462797619048,
same_weight_infer_path,spearman,0,1000,1,2,,4,2-4,0.9387644529342651,
same_weight_infer_path,coactivation_cosine,0,1000,1,2,,4,2-4,0.9941249603098686,
same_weight_infer_path,top_pair_overlap,0,1000,1,2,,4,2-4,0.3333333333333333,
same_weight_infer_path,top1_agreement,0,1000,2,1,,2,1-2,0.8368675595238095,
same_weight_infer_path,nestedness,0,1000,2,1,,2,1-2,0.9438244047619048,
same_weight_infer_path,spearman,0,1000,2,1,,2,1-2,0.9076118469238281,
same_weight_infer_path,top1_agreement,0,1000,2,1,,4,1-4,0.7930617559523809,
same_weight_infer_path,nestedness,0,1000,2,1,,4,1-4,0.9853980654761905,
same_weight_infer_path,spearman,0,1000,2,1,,4,1-4,0.870489239692688,
same_weight_infer_path,top1_agreement,0,1000,2,2,,4,2-4,0.8881138392857143,
same_weight_infer_path,nestedness,0,1000,2,2,,4,2-4,0.9926060267857143,
same_weight_infer_path,spearman,0,1000,2,2,,4,2-4,0.9446570873260498,
same_weight_infer_path,coactivation_cosine,0,1000,2,2,,4,2-4,0.9897429093186498,
same_weight_infer_path,top_pair_overlap,0,1000,2,2,,4,2-4,0.6666666666666666,
same_weight_infer_path,top1_agreement,0,1000,4,1,,2,1-2,0.8045014880952381,
same_weight_infer_path,nestedness,0,1000,4,1,,2,1-2,0.9267113095238095,
same_weight_infer_path,spearman,0,1000,4,1,,2,1-2,0.8919603228569031,
same_weight_infer_path,top1_agreement,0,1000,4,1,,4,1-4,0.7652529761904762,
same_weight_infer_path,nestedness,0,1000,4,1,,4,1-4,0.9778645833333334,
same_weight_infer_path,spearman,0,1000,4,1,,4,1-4,0.8588324785232544,
same_weight_infer_path,top1_agreement,0,1000,4,2,,4,2-4,0.8670944940476191,
same_weight_infer_path,nestedness,0,1000,4,2,,4,2-4,0.9903273809523809,
same_weight_infer_path,spearman,0,1000,4,2,,4,2-4,0.9397631883621216,
same_weight_infer_path,coactivation_cosine,0,1000,4,2,,4,2-4,0.9860153750029103,
same_weight_infer_path,top_pair_overlap,0,1000,4,2,,4,2-4,0.3333333333333333,
matched_train_k_pair,top1_agreement,0,1000,1,1,2,2,1-2,0.46065848214285715,
matched_train_k_pair,nestedness,0,1000,1,1,2,2,1-2,0.6843377976190477,
matched_train_k_pair,spearman,0,1000,1,1,2,2,1-2,0.6157791018486023,
matched_train_k_pair,top1_agreement,0,1000,1,1,4,4,1-4,0.4465215773809524,
matched_train_k_pair,nestedness,0,1000,1,1,4,4,1-4,0.8729538690476191,
matched_train_k_pair,spearman,0,1000,1,1,4,4,1-4,0.592695951461792,
matched_train_k_pair,top1_agreement,0,1000,2,2,4,4,2-4,0.6257440476190477,
matched_train_k_pair,nestedness,0,1000,2,2,4,4,2-4,0.9189918154761905,
matched_train_k_pair,spearman,0,1000,2,2,4,4,2-4,0.7521325349807739,
matched_train_k_pair,coactivation_cosine,0,1000,2,2,4,4,2-4,0.9875182747369098,
matched_train_k_pair,top_pair_overlap,0,1000,2,2,4,4,2-4,0.5384615384615384,
mismatch_cost,validation_loss_delta,0,1000,1,2,,,,0.03656435012817383,
mismatch_cost,validation_loss_delta,0,1000,1,4,,,,-0.1468648910522461,
mismatch_cost,validation_loss_delta,0,1000,2,1,,,,0.26093530654907227,
mismatch_cost,validation_loss_delta,0,1000,2,4,,,,-0.4216599464416504,
mismatch_cost,validation_loss_delta,0,1000,4,1,,,,0.7661128044128418,
mismatch_cost,validation_loss_delta,0,1000,4,2,,,,0.3991103172302246,
logit_cutoff_sanity,top1_agreement,0,1500,4,1,,2,1-2,1.0,derived_from_same_gate_logits
logit_cutoff_sanity,nestedness,0,1500,4,1,,2,1-2,1.0,derived_from_same_gate_logits
logit_cutoff_sanity,spearman,0,1500,4,1,,2,1-2,1.0,derived_from_same_gate_logits
logit_cutoff_sanity,top1_agreement,0,1500,4,1,,4,1-4,1.0,derived_from_same_gate_logits
logit_cutoff_sanity,nestedness,0,1500,4,1,,4,1-4,1.0,derived_from_same_gate_logits
logit_cutoff_sanity,spearman,0,1500,4,1,,4,1-4,1.0,derived_from_same_gate_logits
logit_cutoff_sanity,top1_agreement,0,1500,4,2,,4,2-4,1.0,derived_from_same_gate_logits
logit_cutoff_sanity,nestedness,0,1500,4,2,,4,2-4,1.0,derived_from_same_gate_logits
logit_cutoff_sanity,spearman,0,1500,4,2,,4,2-4,1.0,derived_from_same_gate_logits
logit_cutoff_sanity,coactivation_cosine,0,1500,4,2,,4,2-4,0.9871804180743302,derived_from_same_gate_logits
logit_cutoff_sanity,top_pair_overlap,0,1500,4,2,,4,2-4,0.5384615384615384,derived_from_same_gate_logits
same_weight_infer_path,top1_agreement,0,1500,4,1,,2,1-2,0.8123139880952381,
same_weight_infer_path,nestedness,0,1500,4,1,,2,1-2,0.9342447916666666,
same_weight_infer_path,spearman,0,1500,4,1,,2,1-2,0.8950228691101074,
same_weight_infer_path,top1_agreement,0,1500,4,1,,4,1-4,0.7730654761904762,
same_weight_infer_path,nestedness,0,1500,4,1,,4,1-4,0.9811197916666666,
same_weight_infer_path,spearman,0,1500,4,1,,4,1-4,0.8615983128547668,
same_weight_infer_path,top1_agreement,0,1500,4,2,,4,2-4,0.869140625,
same_weight_infer_path,nestedness,0,1500,4,2,,4,2-4,0.9909784226190477,
same_weight_infer_path,spearman,0,1500,4,2,,4,2-4,0.9412600994110107,
same_weight_infer_path,coactivation_cosine,0,1500,4,2,,4,2-4,0.9872844533021774,
same_weight_infer_path,top_pair_overlap,0,1500,4,2,,4,2-4,0.6666666666666666,
mismatch_cost,validation_loss_delta,0,1500,4,1,,,,0.890559196472168,
mismatch_cost,validation_loss_delta,0,1500,4,2,,,,0.46054983139038086,
logit_cutoff_sanity,top1_agreement,0,2000,1,1,,2,1-2,1.0,derived_from_same_gate_logits
logit_cutoff_sanity,nestedness,0,2000,1,1,,2,1-2,1.0,derived_from_same_gate_logits
logit_cutoff_sanity,spearman,0,2000,1,1,,2,1-2,1.0,derived_from_same_gate_logits
logit_cutoff_sanity,top1_agreement,0,2000,1,1,,4,1-4,1.0,derived_from_same_gate_logits
logit_cutoff_sanity,nestedness,0,2000,1,1,,4,1-4,1.0,derived_from_same_gate_logits
logit_cutoff_sanity,spearman,0,2000,1,1,,4,1-4,1.0,derived_from_same_gate_logits
