seed,pair,layer_id,top_m,overlap_fraction
0,1-2,3,16,0.6291852678571429
0,1-2,3,17,0.6529929680205415
0,1-2,3,18,0.6756899663800705
0,1-2,3,19,0.6988809915413534
0,1-2,3,20,0.7215231274801587
0,1-2,3,21,0.7437892691798942
0,1-2,3,22,0.7655179022366523
0,1-2,3,23,0.7876444962042788
0,1-2,3,24,0.8096504009589947
0,1-2,3,25,0.8311532738095239
0,1-2,3,26,0.8525462168040293
0,1-2,3,27,0.8750401877572016
0,1-2,3,28,0.8981053358843537
0,1-2,3,29,0.9217285423508483
0,1-2,3,30,0.9464719742063492
0,1-2,3,31,0.9720032082053252
0,1-2,3,32,1.0
0,1-2,4,1,0.10289558531746032
0,1-2,4,2,0.16596912202380953
0,1-2,4,3,0.21437872023809523
0,1-2,4,4,0.25657242063492064
0,1-2,4,5,0.295250496031746
0,1-2,4,6,0.3312148644179894
0,1-2,4,7,0.36619100765306123
0,1-2,4,8,0.39733305431547616
0,1-2,4,9,0.4268008708112875
0,1-2,4,10,0.45490761408730157
0,1-2,4,11,0.4826135236291486
0,1-2,4,12,0.5084842096560847
0,1-2,4,13,0.533038576007326
0,1-2,4,14,0.5591451424319728
0,1-2,4,15,0.5838851686507937
0,1-2,4,16,0.6087685236855159
0,1-2,4,17,0.6327486723856209
0,1-2,4,18,0.6567787560626103
0,1-2,4,19,0.6803450684001671
0,1-2,4,20,0.7041434151785714
0,1-2,4,21,0.7272032076719577
0,1-2,4,22,0.7508990575396826
0,1-2,4,23,0.7749040286404417
0,1-2,4,24,0.7979226087136243
0,1-2,4,25,0.821328125
0,1-2,4,26,0.8456780849358975
0,1-2,4,27,0.8694449037330981
0,1-2,4,28,0.8939399978741497
0,1-2,4,29,0.9189800561029009
0,1-2,4,30,0.9445240162037037
0,1-2,4,31,0.971212157578085
0,1-2,4,32,1.0
0,1-2,5,1,0.11117311507936507
0,1-2,5,2,0.16841827876984128
0,1-2,5,3,0.21196056547619047
0,1-2,5,4,0.2547355530753968
0,1-2,5,5,0.2937251984126984
0,1-2,5,6,0.32886388062169314
0,1-2,5,7,0.35929085175736963
0,1-2,5,8,0.3893461681547619
0,1-2,5,9,0.4185543430335097
0,1-2,5,10,0.4470424107142857
0,1-2,5,11,0.4733354752886003
0,1-2,5,12,0.5008293030753969
0,1-2,5,13,0.5281903426434676
0,1-2,5,14,0.5550285218253969
0,1-2,5,15,0.5805452215608465
0,1-2,5,16,0.6058892144097222
0,1-2,5,17,0.6294496965452848
0,1-2,5,18,0.6540660824514991
0,1-2,5,19,0.6779954443400167
0,1-2,5,20,0.7014074900793651
0,1-2,5,21,0.7245931358654573
0,1-2,5,22,0.748307573502886
0,1-2,5,23,0.7718698779330573
0,1-2,5,24,0.7957460110780423
0,1-2,5,25,0.8200979662698412
0,1-2,5,26,0.8439157413766789
0,1-2,5,27,0.8682151583627278
0,1-2,5,28,0.8924031852324263
0,1-2,5,29,0.9181258979885057
0,1-2,5,30,0.9437448330026456
0,1-2,5,31,0.9708341333845366
0,1-2,5,32,1.0
0,1-2,6,1,0.10639880952380952
0,1-2,6,2,0.16186135912698413
0,1-2,6,3,0.20980076058201058
0,1-2,6,4,0.24686104910714285
0,1-2,6,5,0.28046875
0,1-2,6,6,0.3141689401455027
0,1-2,6,7,0.3463763109410431
0,1-2,6,8,0.3774801587301587
0,1-2,6,9,0.4064670138888889
0,1-2,6,10,0.43521515376984127
0,1-2,6,11,0.46356421356421357
0,1-2,6,12,0.4900225281084656
0,1-2,6,13,0.51727048992674
0,1-2,6,14,0.542164912840136
0,1-2,6,15,0.567702132936508
0,1-2,6,16,0.5922309027777778
0,1-2,6,17,0.6179589023109243
0,1-2,6,18,0.6430844907407407
0,1-2,6,19,0.6678055816624896
0,1-2,6,20,0.6923564608134921
0,1-2,6,21,0.7179099938586546
0,1-2,6,22,0.742682122564935
0,1-2,6,23,0.7669365187198067
0,1-2,6,24,0.7914884052579365
0,1-2,6,25,0.8160863095238096
0,1-2,6,26,0.8410194406288156
0,1-2,6,27,0.865831450249853
0,1-2,6,28,0.8911918934240363
0,1-2,6,29,0.9171787339217297
0,1-2,6,30,0.9437117642195767
0,1-2,6,31,0.9707361271121352
0,1-2,6,32,1.0
0,1-2,7,1,0.14366319444444445
0,1-2,7,2,0.1929253472222222
0,1-2,7,3,0.2277405753968254
0,1-2,7,4,0.2688414558531746
0,1-2,7,5,0.30559895833333334
0,1-2,7,6,0.33728608630952384
0,1-2,7,7,0.3691893424036281
0,1-2,7,8,0.3981391059027778
0,1-2,7,9,0.42817873677248675
0,1-2,7,10,0.4552610367063492
0,1-2,7,11,0.4819822104978355
0,1-2,7,12,0.5074611441798942
0,1-2,7,13,0.5336681547619048
0,1-2,7,14,0.560163779053288
0,1-2,7,15,0.5859788359788359
0,1-2,7,16,0.6095086960565477
0,1-2,7,17,0.6345030199579832
0,1-2,7,18,0.6588903356481481
0,1-2,7,19,0.6836427005012531
0,1-2,7,20,0.7074761284722222
0,1-2,7,21,0.732359871031746
0,1-2,7,22,0.7564878697691197
0,1-2,7,23,0.7798252566425121
0,1-2,7,24,0.8035520523313492
0,1-2,7,25,0.8268328373015873
0,1-2,7,26,0.851059313949939
0,1-2,7,27,0.874382256760729
