seed,train_k,layer_id,task_id,task_name,expert_id,count,share
0,1,0,4,code,20,166,0.03602430555555555
0,1,0,4,code,21,122,0.026475694444444444
0,1,0,4,code,22,125,0.027126736111111112
0,1,0,4,code,23,119,0.025824652777777776
0,1,0,4,code,24,120,0.026041666666666668
0,1,0,4,code,25,134,0.029079861111111112
0,1,0,4,code,26,205,0.044487847222222224
0,1,0,4,code,27,56,0.012152777777777778
0,1,0,4,code,28,104,0.022569444444444444
0,1,0,4,code,29,114,0.024739583333333332
0,1,0,4,code,30,222,0.048177083333333336
0,1,0,4,code,31,203,0.04405381944444445
0,1,0,5,reasoning,0,64,0.013888888888888888
0,1,0,5,reasoning,1,195,0.042317708333333336
0,1,0,5,reasoning,2,80,0.017361111111111112
0,1,0,5,reasoning,3,104,0.022569444444444444
0,1,0,5,reasoning,4,195,0.042317708333333336
0,1,0,5,reasoning,5,231,0.050130208333333336
0,1,0,5,reasoning,6,104,0.022569444444444444
0,1,0,5,reasoning,7,159,0.034505208333333336
0,1,0,5,reasoning,8,183,0.039713541666666664
0,1,0,5,reasoning,9,138,0.029947916666666668
0,1,0,5,reasoning,10,157,0.03407118055555555
0,1,0,5,reasoning,11,76,0.016493055555555556
0,1,0,5,reasoning,12,194,0.04210069444444445
0,1,0,5,reasoning,13,64,0.013888888888888888
0,1,0,5,reasoning,14,76,0.016493055555555556
0,1,0,5,reasoning,15,191,0.041449652777777776
0,1,0,5,reasoning,16,175,0.03797743055555555
0,1,0,5,reasoning,17,80,0.017361111111111112
0,1,0,5,reasoning,18,138,0.029947916666666668
0,1,0,5,reasoning,19,122,0.026475694444444444
0,1,0,5,reasoning,20,220,0.04774305555555555
0,1,0,5,reasoning,21,133,0.028862847222222224
0,1,0,5,reasoning,22,113,0.024522569444444444
0,1,0,5,reasoning,23,142,0.030815972222222224
0,1,0,5,reasoning,24,116,0.025173611111111112
0,1,0,5,reasoning,25,174,0.037760416666666664
0,1,0,5,reasoning,26,144,0.03125
0,1,0,5,reasoning,27,164,0.035590277777777776
0,1,0,5,reasoning,28,116,0.025173611111111112
0,1,0,5,reasoning,29,124,0.026909722222222224
0,1,0,5,reasoning,30,230,0.04991319444444445
0,1,0,5,reasoning,31,206,0.04470486111111111
0,1,0,6,translation,0,91,0.019748263888888888
0,1,0,6,translation,1,105,0.022786458333333332
0,1,0,6,translation,2,155,0.033637152777777776
0,1,0,6,translation,3,106,0.023003472222222224
0,1,0,6,translation,4,182,0.039496527777777776
0,1,0,6,translation,5,138,0.029947916666666668
0,1,0,6,translation,6,101,0.021918402777777776
0,1,0,6,translation,7,219,0.047526041666666664
0,1,0,6,translation,8,102,0.022135416666666668
0,1,0,6,translation,9,176,0.03819444444444445
0,1,0,6,translation,10,136,0.029513888888888888
0,1,0,6,translation,11,143,0.031032986111111112
0,1,0,6,translation,12,189,0.041015625
0,1,0,6,translation,13,102,0.022135416666666668
0,1,0,6,translation,14,101,0.021918402777777776
0,1,0,6,translation,15,270,0.05859375
0,1,0,6,translation,16,82,0.017795138888888888
0,1,0,6,translation,17,104,0.022569444444444444
0,1,0,6,translation,18,146,0.031684027777777776
0,1,0,6,translation,19,159,0.034505208333333336
0,1,0,6,translation,20,159,0.034505208333333336
0,1,0,6,translation,21,150,0.032552083333333336
0,1,0,6,translation,22,136,0.029513888888888888
0,1,0,6,translation,23,141,0.030598958333333332
0,1,0,6,translation,24,145,0.03146701388888889
0,1,0,6,translation,25,132,0.028645833333333332
0,1,0,6,translation,26,179,0.03884548611111111
0,1,0,6,translation,27,137,0.029730902777777776
0,1,0,6,translation,28,77,0.016710069444444444
0,1,0,6,translation,29,133,0.028862847222222224
0,1,0,6,translation,30,240,0.052083333333333336
0,1,0,6,translation,31,172,0.03732638888888889
0,1,1,0,general_ko,0,87,0.018880208333333332
0,1,1,0,general_ko,1,151,0.032769097222222224
0,1,1,0,general_ko,2,272,0.059027777777777776
0,1,1,0,general_ko,3,106,0.023003472222222224
0,1,1,0,general_ko,4,214,0.046440972222222224
0,1,1,0,general_ko,5,150,0.032552083333333336
0,1,1,0,general_ko,6,191,0.041449652777777776
0,1,1,0,general_ko,7,189,0.041015625
0,1,1,0,general_ko,8,228,0.049479166666666664
0,1,1,0,general_ko,9,212,0.04600694444444445
0,1,1,0,general_ko,10,162,0.03515625
0,1,1,0,general_ko,11,129,0.027994791666666668
0,1,1,0,general_ko,12,169,0.036675347222222224
0,1,1,0,general_ko,13,164,0.035590277777777776
0,1,1,0,general_ko,14,44,0.009548611111111112
0,1,1,0,general_ko,15,177,0.038411458333333336
0,1,1,0,general_ko,16,36,0.0078125
0,1,1,0,general_ko,17,107,0.023220486111111112
0,1,1,0,general_ko,18,189,0.041015625
0,1,1,0,general_ko,19,118,0.025607638888888888
0,1,1,0,general_ko,20,30,0.006510416666666667
0,1,1,0,general_ko,21,102,0.022135416666666668
0,1,1,0,general_ko,22,127,0.027560763888888888
0,1,1,0,general_ko,23,85,0.018446180555555556
0,1,1,0,general_ko,24,202,0.04383680555555555
0,1,1,0,general_ko,25,62,0.013454861111111112
0,1,1,0,general_ko,26,156,0.033854166666666664
0,1,1,0,general_ko,27,114,0.024739583333333332
0,1,1,0,general_ko,28,189,0.041015625
0,1,1,0,general_ko,29,181,0.03927951388888889
0,1,1,0,general_ko,30,152,0.03298611111111111
0,1,1,0,general_ko,31,113,0.024522569444444444
0,1,1,1,general_en,0,135,0.029296875
0,1,1,1,general_en,1,138,0.029947916666666668
0,1,1,1,general_en,2,259,0.056206597222222224
0,1,1,1,general_en,3,81,0.017578125
0,1,1,1,general_en,4,218,0.047309027777777776
0,1,1,1,general_en,5,49,0.010633680555555556
0,1,1,1,general_en,6,143,0.031032986111111112
0,1,1,1,general_en,7,226,0.04904513888888889
0,1,1,1,general_en,8,62,0.013454861111111112
0,1,1,1,general_en,9,228,0.049479166666666664
0,1,1,1,general_en,10,108,0.0234375
0,1,1,1,general_en,11,173,0.037543402777777776
