seed,train_k,layer_id,mutual_information,normalized_mutual_information,expert_purity,mean_pairwise_task_js
2,3,7,0.07472167436817712,0.02907505841190244,0.23157448743386244,0.042981152261415065
2,4,0,0.00901136462708912,0.0034799025806871694,0.17016214037698413,0.005259374248389449
2,4,1,0.01823806191726281,0.0070488382699278075,0.18806578621031747,0.010495006011815043
2,4,2,0.046929990537626774,0.018129029247328957,0.2062562003968254,0.027512978905050882
2,4,3,0.10696053640396361,0.04139869177695082,0.2558206225198413,0.06085388222987734
2,4,4,0.15688229394448816,0.06082142685475712,0.29415457589285715,0.0867480593384896
2,4,5,0.15197367005461976,0.058787977044809626,0.27380952380952384,0.08639543677068924
2,4,6,0.10704870469822797,0.04156537782347372,0.25413101438492064,0.062102012410999136
2,4,7,0.06102158900277739,0.023695538765254338,0.2257021949404762,0.03523515938664318
2,5,0,0.007201256614238082,0.0027772904994334065,0.16908482142857142,0.004195207830605062
2,5,1,0.015821976478597528,0.006103225341395859,0.182452876984127,0.009168795645044074
2,5,2,0.03274996059541818,0.012630194323493256,0.19544270833333333,0.019163053755400672
2,5,3,0.07971780850737355,0.030792315007283223,0.2349454365079365,0.04489445981974009
2,5,4,0.10167238112269691,0.03928185375708802,0.26008184523809524,0.05653099751396453
2,5,5,0.10325105199766577,0.03985143175295727,0.2579613095238095,0.058285165367116205
2,5,6,0.07288212376468903,0.028144855584913465,0.22961309523809523,0.042529417766293154
2,5,7,0.041415691292393,0.016047464828799665,0.20573536706349208,0.023969385816006532
2,6,0,0.005189363895152699,0.002001003898998511,0.16361297123015872,0.0030358403604817193
2,6,1,0.011633968358309162,0.004488290550045391,0.17709366732804233,0.0067185202476353675
2,6,2,0.026885354352818948,0.01036682136880674,0.19069837136243387,0.0157049336542672
2,6,3,0.059805336500142414,0.02309510115773247,0.2193390376984127,0.034096836139708354
2,6,4,0.08476867510792202,0.032735975411103034,0.24920944940476192,0.0476501006889651
2,6,5,0.09730634952594698,0.03754641179658291,0.24967964616402116,0.055231300976084426
2,6,6,0.05699186531785372,0.02199446584249266,0.22320395171957672,0.03292200866445689
2,6,7,0.027649597900491492,0.01069125489125401,0.19480096726190477,0.01600599881709931
2,7,0,0.004035845144391552,0.0015555004357780135,0.16159562783446713,0.002355581208709758
2,7,1,0.00941851029081823,0.003631150556778353,0.1725969033446712,0.005451742022703132
2,7,2,0.02090767340717377,0.00805910012414528,0.18466996173469388,0.012245293912324273
2,7,3,0.04548344090083094,0.017541964051968298,0.21242559523809523,0.02573908763412495
2,7,4,0.06302506507734108,0.024328307049483546,0.23016758786848074,0.03593250009244563
2,7,5,0.0832312886931974,0.03210798628869138,0.23879499716553287,0.04805248136552718
2,7,6,0.042058039973985446,0.016232804642731292,0.21162840136054423,0.024130998530030433
2,7,7,0.02495376566369058,0.009638314515301465,0.19080835459183673,0.014365072307187437
2,8,0,0.00409155591466296,0.001577004424126439,0.16262865823412698,0.0023832264937577847
2,8,1,0.0077653602171187976,0.002993418530928748,0.16999162946428573,0.0044862967476554565
2,8,2,0.02029507307719904,0.007824996515554558,0.18296595982142858,0.011862149518489858
2,8,3,0.049735443554335845,0.01917932055935375,0.2181183345734127,0.028371442324095143
2,8,4,0.07669239288823484,0.029577406826707824,0.23797510540674602,0.043030199476400174
2,8,5,0.08269715959900312,0.03197533334662479,0.23863777281746032,0.04777639646384836
2,8,6,0.04635903920733264,0.01789868237799289,0.20931377108134921,0.027092766741438245
2,8,7,0.028483620275809245,0.011025812609811865,0.19450257316468253,0.016580978105329745
