seed,train_k,layer_id,task_id,task_name,num_records,normalized_gate_entropy,top1_top2_logit_margin,selected_probability_mass,normalized_selected_weight_entropy
0,4,4,1,general_en,4608,0.9094411134719849,0.5088794231414795,0.36020997166633606,0.9332680106163025
0,4,4,2,math_ko,4608,0.9058456420898438,0.507420003414154,0.3672492802143097,0.9344874620437622
0,4,4,3,math_en,4608,0.9038607478141785,0.4930933713912964,0.3687528371810913,0.9352021813392639
0,4,4,4,code,4608,0.8937053680419922,0.5576237440109253,0.382036417722702,0.9207295179367065
0,4,4,5,reasoning,4608,0.9009547829627991,0.5219317674636841,0.37261879444122314,0.9268335700035095
0,4,4,6,translation,4608,0.9086530208587646,0.4587240219116211,0.36198437213897705,0.9399647116661072
0,4,5,0,general_ko,4608,0.9016831517219543,0.5432698726654053,0.3705044984817505,0.928120493888855
0,4,5,1,general_en,4608,0.8828776478767395,0.6418175101280212,0.39644306898117065,0.8994762897491455
0,4,5,2,math_ko,4608,0.8891587853431702,0.5404903888702393,0.3923185467720032,0.9164875745773315
0,4,5,3,math_en,4608,0.8898938298225403,0.558821976184845,0.38736024498939514,0.9139866232872009
0,4,5,4,code,4608,0.8952086567878723,0.5751832127571106,0.3829777240753174,0.9181600213050842
0,4,5,5,reasoning,4608,0.8838444948196411,0.623455286026001,0.3969937860965729,0.9043888449668884
0,4,5,6,translation,4608,0.8883559107780457,0.5858941674232483,0.3917657136917114,0.9129478931427002
0,4,6,0,general_ko,4608,0.877024233341217,0.7080205082893372,0.4085136651992798,0.8850982189178467
0,4,6,1,general_en,4608,0.8831759691238403,0.6786008477210999,0.3976041078567505,0.8949021100997925
0,4,6,2,math_ko,4608,0.8858813047409058,0.6652272343635559,0.3962739408016205,0.896214485168457
0,4,6,3,math_en,4608,0.8770653009414673,0.6647740602493286,0.4057401418685913,0.8915421962738037
0,4,6,4,code,4608,0.8695737719535828,0.7567819356918335,0.41732946038246155,0.8780262470245361
0,4,6,5,reasoning,4608,0.8815465569496155,0.6670714616775513,0.40035536885261536,0.8965561985969543
0,4,6,6,translation,4608,0.8793510794639587,0.6867465972900391,0.40527281165122986,0.8910079598426819
0,4,7,0,general_ko,4608,0.852039098739624,0.9560641050338745,0.4313233196735382,0.8325411081314087
0,4,7,1,general_en,4608,0.8566797375679016,0.9177052974700928,0.42147982120513916,0.8390357494354248
0,4,7,2,math_ko,4608,0.8469101786613464,0.9668430685997009,0.4395308494567871,0.8344175219535828
0,4,7,3,math_en,4608,0.8589685559272766,0.857852578163147,0.41943544149398804,0.8548567295074463
0,4,7,4,code,4608,0.8504252433776855,0.9346714019775391,0.43248382210731506,0.8333294987678528
0,4,7,5,reasoning,4608,0.8452576398849487,0.9215827584266663,0.4388923645019531,0.8303897380828857
0,4,7,6,translation,4608,0.8493102192878723,0.9697792530059814,0.4306480586528778,0.8277044296264648
0,5,0,0,general_ko,4608,0.9451590776443481,0.3138713836669922,0.3448341190814972,0.9715596437454224
0,5,0,1,general_en,4608,0.9454396367073059,0.2934790849685669,0.3442734479904175,0.9722974300384521
0,5,0,2,math_ko,4608,0.9448437094688416,0.3102438151836395,0.3463142514228821,0.9719464182853699
0,5,0,3,math_en,4608,0.9455389380455017,0.30590710043907166,0.34475448727607727,0.9733242392539978
0,5,0,4,code,4608,0.9457643032073975,0.3035522997379303,0.34367334842681885,0.9728982448577881
0,5,0,5,reasoning,4608,0.9450210928916931,0.3098191022872925,0.3448496162891388,0.9708948135375977
0,5,0,6,translation,4608,0.9444695711135864,0.29840436577796936,0.34671300649642944,0.9714989066123962
