seed,pair,layer_id,intersection_size,count,share
0,2-6,7,2,12040,0.3732638888888889
0,2-6,-1,0,16522,0.06402684771825397
0,2-6,-1,1,98207,0.3805764818948413
0,2-6,-1,2,143319,0.5553966703869048
0,2-7,0,0,36,0.0011160714285714285
0,2-7,0,1,2137,0.06625124007936507
0,2-7,0,2,30083,0.9326326884920635
0,2-7,1,0,283,0.008773561507936508
0,2-7,1,1,5847,0.1812686011904762
0,2-7,1,2,26126,0.8099578373015873
0,2-7,2,0,956,0.029637896825396824
0,2-7,2,1,9566,0.2965649801587302
0,2-7,2,2,21734,0.673797123015873
0,2-7,3,0,1549,0.048022073412698416
0,2-7,3,1,11998,0.3719618055555556
0,2-7,3,2,18709,0.580016121031746
0,2-7,4,0,1878,0.05822172619047619
0,2-7,4,1,13299,0.4122953869047619
0,2-7,4,2,17079,0.5294828869047619
0,2-7,5,0,2200,0.06820436507936507
0,2-7,5,1,13243,0.4105592757936508
0,2-7,5,2,16813,0.5212363591269841
0,2-7,6,0,3280,0.10168650793650794
0,2-7,6,1,15695,0.48657614087301587
0,2-7,6,2,13281,0.41173735119047616
0,2-7,7,0,2666,0.08265128968253968
0,2-7,7,1,14660,0.4544890873015873
0,2-7,7,2,14930,0.462859623015873
0,2-7,-1,0,12848,0.049789186507936505
0,2-7,-1,1,86445,0.33499581473214285
0,2-7,-1,2,158755,0.6152149987599206
0,2-8,0,0,3,9.300595238095238e-05
0,2-8,0,1,1420,0.044022817460317464
0,2-8,0,2,30833,0.9558841765873016
0,2-8,1,0,162,0.005022321428571429
0,2-8,1,1,4856,0.1505456349206349
0,2-8,1,2,27238,0.8444320436507936
0,2-8,2,0,603,0.018694196428571428
0,2-8,2,1,7986,0.24758184523809523
0,2-8,2,2,23667,0.7337239583333334
0,2-8,3,0,1197,0.037109375
0,2-8,3,1,10725,0.33249627976190477
0,2-8,3,2,20334,0.6303943452380952
0,2-8,4,0,1326,0.04110863095238095
0,2-8,4,1,11592,0.359375
0,2-8,4,2,19338,0.5995163690476191
0,2-8,5,0,1622,0.050285218253968256
0,2-8,5,1,11950,0.3704737103174603
0,2-8,5,2,18684,0.5792410714285714
0,2-8,6,0,2561,0.07939608134920635
0,2-8,6,1,13491,0.41824776785714285
0,2-8,6,2,16204,0.5023561507936508
0,2-8,7,0,2087,0.06470114087301587
0,2-8,7,1,13563,0.4204799107142857
0,2-8,7,2,16606,0.5148189484126984
0,2-8,-1,0,9561,0.037051246279761904
0,2-8,-1,1,75583,0.2929028707837302
0,2-8,-1,2,172904,0.6700458829365079
0,3-4,0,0,20,0.0006200396825396825
0,3-4,0,1,784,0.024305555555555556
0,3-4,0,2,10926,0.33872767857142855
0,3-4,0,3,20526,0.6363467261904762
0,3-4,1,0,101,0.003131200396825397
0,3-4,1,1,2532,0.07849702380952381
0,3-4,1,2,15387,0.47702752976190477
0,3-4,1,3,14236,0.44134424603174605
0,3-4,2,0,410,0.012710813492063492
0,3-4,2,1,5236,0.1623263888888889
0,3-4,2,2,16378,0.507750496031746
0,3-4,2,3,10232,0.31721230158730157
0,3-4,3,0,897,0.02780877976190476
0,3-4,3,1,7718,0.2392733134920635
0,3-4,3,2,16303,0.5054253472222222
0,3-4,3,3,7338,0.22749255952380953
0,3-4,4,0,1123,0.034815228174603176
0,3-4,4,1,9279,0.2876674107142857
0,3-4,4,2,16262,0.5041542658730159
0,3-4,4,3,5592,0.17336309523809523
0,3-4,5,0,1306,0.04048859126984127
0,3-4,5,1,9294,0.28813244047619047
0,3-4,5,2,16146,0.5005580357142857
0,3-4,5,3,5510,0.17082093253968253
0,3-4,6,0,1612,0.049975198412698416
0,3-4,6,1,9803,0.3039124503968254
0,3-4,6,2,15803,0.4899243551587302
0,3-4,6,3,5038,0.15618799603174602
0,3-4,7,0,1350,0.04185267857142857
0,3-4,7,1,11356,0.35205853174603174
0,3-4,7,2,15276,0.47358630952380953
0,3-4,7,3,4274,0.13250248015873015
0,3-4,-1,0,6819,0.026425316220238096
0,3-4,-1,1,56002,0.21702163938492064
0,3-4,-1,2,122481,0.47464425223214285
0,3-4,-1,3,72746,0.28190879216269843
0,3-5,0,0,33,0.0010230654761904762
0,3-5,0,1,563,0.017454117063492064
0,3-5,0,2,7156,0.2218501984126984
0,3-5,0,3,24504,0.7596726190476191
0,3-5,1,0,26,0.0008060515873015873
0,3-5,1,1,1294,0.040116567460317464
0,3-5,1,2,11031,0.3419828869047619
0,3-5,1,3,19905,0.6170944940476191
0,3-5,2,0,273,0.008463541666666666
0,3-5,2,1,3118,0.09666418650793651
0,3-5,2,2,14478,0.44884672619047616
0,3-5,2,3,14387,0.44602554563492064
0,3-5,3,0,544,0.016865079365079364
0,3-5,3,1,5694,0.17652529761904762
0,3-5,3,2,15096,0.4680059523809524
0,3-5,3,3,10922,0.33860367063492064
0,3-5,4,0,808,0.025049603174603176
0,3-5,4,1,7267,0.22529141865079366
0,3-5,4,2,15545,0.48192584325396826
0,3-5,4,3,8636,0.26773313492063494
0,3-5,5,0,717,0.02222842261904762
0,3-5,5,1,7388,0.22904265873015872
0,3-5,5,2,16125,0.49990699404761907
0,3-5,5,3,8026,0.2488219246031746
0,3-5,6,0,1214,0.03763640873015873
0,3-5,6,1,8026,0.2488219246031746
0,3-5,6,2,15427,0.47826760912698413
0,3-5,6,3,7589,0.23527405753968253
0,3-5,7,0,853,0.02644469246031746
0,3-5,7,1,7706,0.23890128968253968
0,3-5,7,2,16407,0.5086495535714286
0,3-5,7,3,7290,0.22600446428571427
0,3-5,-1,0,4468,0.017314608134920636
0,3-5,-1,1,41056,0.15910218253968253
0,3-5,-1,2,111265,0.4311794704861111
0,3-5,-1,3,101259,0.3924037388392857
0,3-6,0,0,0,0.0
0,3-6,0,1,410,0.012710813492063492
0,3-6,0,2,5316,0.16480654761904762
0,3-6,0,3,26530,0.8224826388888888
0,3-6,1,0,20,0.0006200396825396825
0,3-6,1,1,835,0.025886656746031748
0,3-6,1,2,8485,0.2630518353174603
0,3-6,1,3,22916,0.7104414682539683
0,3-6,2,0,100,0.0031001984126984125
0,3-6,2,1,2591,0.08032614087301587
0,3-6,2,2,12154,0.37679811507936506
0,3-6,2,3,17411,0.5397755456349206
0,3-6,3,0,434,0.013454861111111112
0,3-6,3,1,4478,0.1388268849206349
0,3-6,3,2,14178,0.43954613095238093
0,3-6,3,3,13166,0.408172123015873
0,3-6,4,0,560,0.017361111111111112
0,3-6,4,1,5627,0.17444816468253968
0,3-6,4,2,15094,0.46794394841269843
0,3-6,4,3,10975,0.3402467757936508
0,3-6,5,0,603,0.018694196428571428
0,3-6,5,1,5782,0.1792534722222222
0,3-6,5,2,14642,0.45393105158730157
0,3-6,5,3,11229,0.34812127976190477
0,3-6,6,0,994,0.030815972222222224
0,3-6,6,1,6474,0.20070684523809523
0,3-6,6,2,15182,0.470672123015873
0,3-6,6,3,9606,0.29780505952380953
0,3-6,7,0,729,0.022600446428571428
0,3-6,7,1,7452,0.23102678571428573
0,3-6,7,2,15749,0.488250248015873
0,3-6,7,3,8326,0.2581225198412698
0,3-6,-1,0,3440,0.013330853174603174
0,3-6,-1,1,33649,0.1303982204861111
0,3-6,-1,2,100800,0.390625
0,3-6,-1,3,120159,0.4656459263392857
0,3-7,0,0,0,0.0
0,3-7,0,1,171,0.005301339285714286
0,3-7,0,2,3241,0.10047743055555555
0,3-7,0,3,28844,0.8942212301587301
0,3-7,1,0,6,0.00018601190476190475
0,3-7,1,1,575,0.017826140873015872
0,3-7,1,2,6949,0.2154327876984127
0,3-7,1,3,24726,0.7665550595238095
0,3-7,2,0,72,0.002232142857142857
0,3-7,2,1,1619,0.050192212301587304
0,3-7,2,2,10590,0.3283110119047619
0,3-7,2,3,19975,0.6192646329365079
0,3-7,3,0,279,0.008649553571428572
0,3-7,3,1,3140,0.09734623015873016
0,3-7,3,2,12772,0.3959573412698413
0,3-7,3,3,16065,0.498046875
0,3-7,4,0,265,0.008215525793650794
0,3-7,4,1,4359,0.1351376488095238
0,3-7,4,2,14235,0.44131324404761907
0,3-7,4,3,13397,0.41533358134920634
0,3-7,5,0,507,0.015718005952380952
0,3-7,5,1,4655,0.1443142361111111
0,3-7,5,2,14351,0.4449094742063492
0,3-7,5,3,12743,0.3950582837301587
0,3-7,6,0,453,0.01404389880952381
0,3-7,6,1,5796,0.1796875
0,3-7,6,2,14426,0.447234623015873
0,3-7,6,3,11581,0.3590339781746032
0,3-7,7,0,508,0.015749007936507936
0,3-7,7,1,5236,0.1623263888888889
0,3-7,7,2,15387,0.47702752976190477
0,3-7,7,3,11125,0.34489707341269843
0,3-7,-1,0,2090,0.008099268353174604
0,3-7,-1,1,25551,0.09901646205357142
0,3-7,-1,2,91951,0.3563329303075397
0,3-7,-1,3,138456,0.5365513392857143
0,3-8,0,0,0,0.0
0,3-8,0,1,64,0.001984126984126984
0,3-8,0,2,3065,0.09502108134920635
0,3-8,0,3,29127,0.9029947916666666
0,3-8,1,0,1,3.1001984126984125e-05
0,3-8,1,1,380,0.011780753968253968
0,3-8,1,2,5192,0.1609623015873016
0,3-8,1,3,26683,0.8272259424603174
0,3-8,2,0,30,0.0009300595238095238
0,3-8,2,1,1059,0.03283110119047619
0,3-8,2,2,8556,0.26525297619047616
0,3-8,2,3,22611,0.7009858630952381
0,3-8,3,0,90,0.0027901785714285715
0,3-8,3,1,2216,0.06870039682539683
0,3-8,3,2,11778,0.36514136904761907
0,3-8,3,3,18172,0.5633680555555556
0,3-8,4,0,135,0.004185267857142857
0,3-8,4,1,3092,0.09585813492063493
0,3-8,4,2,13179,0.40857514880952384
0,3-8,4,3,15850,0.49138144841269843
0,3-8,5,0,253,0.007843501984126984
0,3-8,5,1,3898,0.12084573412698413
0,3-8,5,2,13799,0.42779637896825395
0,3-8,5,3,14306,0.44351438492063494
0,3-8,6,0,341,0.010571676587301588
0,3-8,6,1,4387,0.13600570436507936
0,3-8,6,2,13829,0.4287264384920635
0,3-8,6,3,13699,0.4246961805555556
0,3-8,7,0,354,0.01097470238095238
0,3-8,7,1,4477,0.13879588293650794
0,3-8,7,2,14890,0.46161954365079366
0,3-8,7,3,12535,0.38860987103174605
0,3-8,-1,0,1204,0.004665798611111111
0,3-8,-1,1,19573,0.07585022941468254
0,3-8,-1,2,84288,0.32663690476190477
0,3-8,-1,3,152983,0.5928470672123016
0,4-5,0,0,0,0.0
0,4-5,0,1,32,0.000992063492063492
0,4-5,0,2,791,0.024522569444444444
0,4-5,0,3,9747,0.3021763392857143
0,4-5,0,4,21686,0.6723090277777778
0,4-5,1,0,0,0.0
0,4-5,1,1,140,0.004340277777777778
0,4-5,1,2,2818,0.08736359126984126
0,4-5,1,3,13946,0.43235367063492064
0,4-5,1,4,15352,0.4759424603174603
0,4-5,2,0,31,0.0009610615079365079
0,4-5,2,1,998,0.03093998015873016
0,4-5,2,2,5648,0.17509920634920634
0,4-5,2,3,15768,0.4888392857142857
0,4-5,2,4,9811,0.3041604662698413
0,4-5,3,0,44,0.0013640873015873015
0,4-5,3,1,1260,0.0390625
0,4-5,3,2,7828,0.24268353174603174
0,4-5,3,3,15800,0.4898313492063492
0,4-5,3,4,7324,0.22705853174603174
0,4-5,4,0,117,0.003627232142857143
0,4-5,4,1,2327,0.07214161706349206
0,4-5,4,2,10041,0.3112909226190476
0,4-5,4,3,14367,0.44540550595238093
0,4-5,4,4,5404,0.1675347222222222
0,4-5,5,0,162,0.005022321428571429
0,4-5,5,1,2352,0.07291666666666667
0,4-5,5,2,10047,0.31147693452380953
0,4-5,5,3,14730,0.45665922619047616
0,4-5,5,4,4965,0.1539248511904762
0,4-5,6,0,221,0.006851438492063492
0,4-5,6,1,3076,0.09536210317460317
0,4-5,6,2,11080,0.34350198412698413
0,4-5,6,3,13752,0.4263392857142857
0,4-5,6,4,4127,0.1279451884920635
0,4-5,7,0,105,0.0032552083333333335
0,4-5,7,1,3033,0.09402901785714286
0,4-5,7,2,11838,0.3670014880952381
0,4-5,7,3,13720,0.4253472222222222
0,4-5,7,4,3560,0.11036706349206349
0,4-5,-1,0,680,0.002635168650793651
0,4-5,-1,1,13218,0.05122302827380952
0,4-5,-1,2,60091,0.2328675285218254
0,4-5,-1,3,111830,0.43336898561507936
0,4-5,-1,4,72229,0.27990528893849204
0,4-6,0,0,0,0.0
0,4-6,0,1,0,0.0
0,4-6,0,2,462,0.014322916666666666
0,4-6,0,3,5698,0.17664930555555555
0,4-6,0,4,26096,0.8090277777777778
0,4-6,1,0,0,0.0
0,4-6,1,1,21,0.0006510416666666666
0,4-6,1,2,1347,0.041759672619047616
0,4-6,1,3,10451,0.3240017361111111
0,4-6,1,4,20437,0.6335875496031746
0,4-6,2,0,25,0.0007750496031746031
0,4-6,2,1,460,0.014260912698412698
0,4-6,2,2,3873,0.12007068452380952
0,4-6,2,3,13823,0.42854042658730157
0,4-6,2,4,14075,0.43635292658730157
0,4-6,3,0,46,0.0014260912698412698
0,4-6,3,1,809,0.02508060515873016
0,4-6,3,2,5618,0.17416914682539683
0,4-6,3,3,15006,0.46521577380952384
0,4-6,3,4,10777,0.33410838293650796
0,4-6,4,0,61,0.0018911210317460317
0,4-6,4,1,1377,0.042689732142857144
0,4-6,4,2,7228,0.22408234126984128
0,4-6,4,3,14705,0.45588417658730157
0,4-6,4,4,8885,0.27545262896825395
0,4-6,5,0,103,0.003193204365079365
0,4-6,5,1,1672,0.051835317460317464
0,4-6,5,2,7996,0.2478918650793651
0,4-6,5,3,14799,0.4587983630952381
0,4-6,5,4,7686,0.23828125
