pair,layer_id,source_rank,mean_target_rank,mean_absolute_displacement,count
1-3,2,13,14.985697751322752,7.205212466931217,96768
1-3,2,14,15.404152199074074,7.2313264715608465,96768
1-3,2,15,15.807074652777779,7.183252728174603,96768
1-3,2,16,16.233186590608465,7.2326905588624335,96768
1-3,2,17,16.49415095899471,7.164641203703703,96768
1-3,2,18,16.90451388888889,7.316364914021164,96768
1-3,2,19,17.370132688492063,7.282645089285714,96768
1-3,2,20,17.837435929232804,7.341962218915344,96768
1-3,2,21,18.148210152116402,7.357845568783069,96768
1-3,2,22,18.708922371031747,7.366102430555555,96768
1-3,2,23,19.097428902116402,7.4165219907407405,96768
1-3,2,24,19.587363591269842,7.460813492063492,96768
1-3,2,25,19.92136863425926,7.566457919973545,96768
1-3,2,26,20.543723131613756,7.50862888558201,96768
1-3,2,27,20.99743716931217,7.614934689153439,96768
1-3,2,28,21.719235697751323,7.5073061342592595,96768
1-3,2,29,22.220517113095237,7.644210896164021,96768
1-3,2,30,23.03804976851852,7.478980654761905,96768
1-3,2,31,24.150628306878307,7.089885085978836,96768
1-3,2,32,25.74383060515873,6.25616939484127,96768
1-3,3,1,9.03351314484127,8.03351314484127,96768
1-3,3,2,10.503668568121693,8.701874586640212,96768
1-3,3,3,11.283699156746032,8.723637979497354,96768
1-3,3,4,12.050440228174603,8.811683614417989,96768
1-3,3,5,12.348131613756614,8.47420634920635,96768
1-3,3,6,12.936941964285714,8.434461805555555,96768
1-3,3,7,13.387927827380953,8.38158275462963,96768
1-3,3,8,13.693338707010582,8.133959573412698,96768
1-3,3,9,13.913432126322752,7.8503534226190474,96768
1-3,3,10,14.455677496693122,7.955718832671957,96768
1-3,3,11,14.714151372354497,7.730685763888889,96768
1-3,3,12,15.101366154100528,7.723183283730159,96768
1-3,3,13,15.250568369708995,7.590846147486772,96768
1-3,3,14,15.689194775132275,7.529369212962963,96768
1-3,3,15,16.064225777116402,7.551948991402116,96768
1-3,3,16,16.460958167989418,7.596891534391534,96768
1-3,3,17,16.65010127314815,7.499348958333333,96768
1-3,3,18,16.96563946759259,7.583984375,96768
1-3,3,19,17.170459242724867,7.570157490079365,96768
1-3,3,20,17.46855365410053,7.686724950396825,96768
1-3,3,21,17.822668650793652,7.789620535714286,96768
1-3,3,22,18.36081142526455,7.738353587962963,96768
1-3,3,23,18.48623511904762,7.9762318121693125,96768
1-3,3,24,18.921223958333332,7.995194692460317,96768
1-3,3,25,19.286137979497354,8.113456927910052,96768
1-3,3,26,19.741071428571427,8.227719907407407,96768
1-3,3,27,20.151279348544975,8.357897238756614,96768
1-3,3,28,20.526134672619047,8.578176669973544,96768
1-3,3,29,21.08623718584656,8.653718171296296,96768
1-3,3,30,21.79092261904762,8.660176917989418,96768
1-3,3,31,22.638847552910054,8.54040591931217,96768
1-3,3,32,24.04644097222222,7.953559027777778,96768
1-3,4,1,9.875341021825397,8.875341021825397,96768
1-3,4,2,11.216032159391535,9.38836185515873,96768
1-3,4,3,12.048373429232804,9.44736896494709,96768
1-3,4,4,12.698123346560847,9.411458333333334,96768
1-3,4,5,13.057198660714286,9.111286789021165,96768
1-3,4,6,13.417927414021165,8.884941302910052,96768
1-3,4,7,13.672608713624339,8.609488673941799,96768
1-3,4,8,14.209253058862434,8.532665757275133,96768
1-3,4,9,14.46196056547619,8.292834408068783,96768
1-3,4,10,14.645647321428571,8.092055224867725,96768
1-3,4,11,15.019396908068783,8.021835730820106,96768
1-3,4,12,15.389250578703704,7.9435660548941796,96768
1-3,4,13,15.613622271825397,7.893797536375661,96768
1-3,4,14,15.73180183531746,7.705987516534392,96768
1-3,4,15,16.033316798941797,7.68760333994709,96768
1-3,4,16,16.28690269510582,7.68544353505291,96768
1-3,4,17,16.559792493386244,7.724082341269841,96768
1-3,4,18,17.046172288359788,7.592427248677248,96768
1-3,4,19,17.149832589285715,7.706566220238095,96768
1-3,4,20,17.538731812169313,7.799789186507937,96768
1-3,4,21,17.70376570767196,7.9455811838624335,96768
1-3,4,22,17.96031746031746,8.005704365079366,96768
1-3,4,23,18.143239500661377,8.164300181878307,96768
1-3,4,24,18.55406746031746,8.303447420634921,96768
1-3,4,25,19.078703703703702,8.370680390211641,96768
1-3,4,26,19.216548859126984,8.652312748015873,96768
1-3,4,27,19.65812045304233,8.751312417328043,96768
1-3,4,28,20.034112516534393,8.995401372354497,96768
1-3,4,29,20.444919808201057,9.23365162037037,96768
1-3,4,30,20.953507357804234,9.444227430555555,96768
1-3,4,31,21.659319196428573,9.507884837962964,96768
1-3,4,32,22.92209201388889,9.07790798611111,96768
1-3,5,1,10.493396577380953,9.493396577380953,96768
1-3,5,2,11.682033316798941,9.849650710978835,96768
1-3,5,3,12.514953290343914,9.904689566798941,96768
1-3,5,4,12.920903604497354,9.589988425925926,96768
1-3,5,5,13.329902447089948,9.343584656084657,96768
1-3,5,6,13.702742642195767,9.093677662037036,96768
1-3,5,7,14.12663277116402,8.923776455026456,96768
1-3,5,8,14.390252976190476,8.646288029100528,96768
1-3,5,9,14.778201471560847,8.568834738756614,96768
1-3,5,10,14.813564401455027,8.227502893518519,96768
1-3,5,11,15.18215732473545,8.049406828703704,96768
1-3,5,12,15.369212962962964,7.914207175925926,96768
1-3,5,13,15.750558035714286,7.88589203042328,96768
1-3,5,14,15.856977513227513,7.765149636243386,96768
1-3,5,15,16.23603877314815,7.712725281084656,96768
1-3,5,16,16.472087880291006,7.784112516534392,96768
1-3,5,17,16.638692542989418,7.755632027116402,96768
1-3,5,18,16.94031084656085,7.73427166005291,96768
1-3,5,19,17.180266203703702,7.746031746031746,96768
1-3,5,20,17.36915095899471,7.8283936838624335,96768
1-3,5,21,17.525958994708994,7.96124751984127,96768
1-3,5,22,17.71636284722222,8.12930927579365,96768
1-3,5,23,18.111596808862434,8.268136160714286,96768
1-3,5,24,18.35177951388889,8.434947503306878,96768
